#,Alias,Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
,,32904,MERCADOS MUNICIPALES,515000,0,515000,479434.57
,,32905,ESTACION DE AUTOBUSES,396550,0,396550,0
,,32906,INDUSTRIAS CALLEJERAS Y AMBULANTES,68000,0,68000,46293.33
,,33000,TASA DE ESTACIONAMIENTO DE VEHICULOS,2500000,0,2500000,1678437.22
,,33100,TASA POR ENTRADA DE VEHICULOS,1845000,0,1845000,2155079.01
,,33200,UTILIZAC.PRIVATIVA O APROV.ESP.POR EMP.DE SERV.DE SUMINIST,3500000,0,3500000,3470554.87
,,33300,UTILIZ.PRIVAT.O APROV.ESPEC.POR EMP.SERV.TELECOMUNICACIONES,1150655.03,0,1150655.03,888789.13
,,33400,TASA POR APERTURA DE CALAS Y ZANJAS,50470,0,50470,16652.12
,,33500,TASA POR OCUPACION DE LA VIA PUBLICA CON TERRAZA,200000,0,200000,0
,,33600,OCUP. DE VIA PUBLICA CON SUSPENSION  DEL TRAFICO RODADO,679202,0,679202,391094.79
,,33700,APROVECHAMIENTO VUELO TERRENOS USO PUBLICO LOCAL,2700,0,2700,15.61
,,33800,COMPENSACION TELEFONICA DE ESPAÑA S.A.,686598,0,686598,617755.86
,,33901,"OCUP.TERR.USO PUB. MERCANCIAS,ESCOMBROS,VALLAS,ANDAMIOS...",850000,0,850000,207560.97
,,33902,OCUPACION TERRENOS USO PUBLICO CON KIOSCOS,50500,0,50500,44680.08
,,33903,OCUPACION TERRENOS USO PUBLICO CON PUESTOS Y BARRACAS,21733,0,21733,18421.68
,,33904,OCUPACION TERRENOS USO PUB. DEPOSITOS Y APARATOS DISTRIBUC.,17100,0,17100,15008.36
,,33905,APROVECHAMIENTO SUBSUELO DE TERRENOS DE USO PUBLICO LOCAL,500,0,500,0
,,34401,"SERVICIOS PRESTADOS EN INSTALAC. CULTURALES, EDUCATIVAS...",350000,0,350000,116344
,,34901,PRESTACION SERVICIOS DEL CENTRO DE PROCESO DE DATOS,3862.5,0,3862.5,3885.35
,,34902,UTILIZACION BIENES PROPIEDAD MUNICIPAL,200,0,200,0
,,34904,PRESTACION SERVICIOS EN EL CENTRO MUNICIPAL DE EMPRESAS,20500,0,20500,24579.15
,,35100,C.E.PARA ESTABLEC.O AMPLIAC.DE SERVICIOS,600000,0,600000,600000
,,36001,"VENTA ENVASES LIGEROS, PAPEL Y OTROS RESIDUOS",1500000,0,1500000,1919430.57
,,36002,VENTAS ENERGÍA,659000,0,659000,332332.13
,,36100,VENTA DE PUBLICACIONES,28922.4,0,28922.4,194.4
,,36200,VENTA DE OBJETOS CASA DE LAS CIENCIAS,1,0,1,0
,,36201,VENTA DE OBJETOS MUSEO ARQUEOLÓGICO,1100,0,1100,0
,,38900,OTROS REINTEGROS DE OPERACIONES CORRIENTES,1,0,1,387059.81
,,39100,Multas por infracciones urbanísticas.,75000,0,75000,57500
,,39110,Multas por infracciones tributarias y análogas.,325000,0,325000,369376.6
,,39120,Multas por infracciones de la Ordenanza de circulación.,1600000,0,1600000,2173200
,,39190,Otras multas y sanciones.,150000,0,150000,2795371.69
,,39200,Recargo por declaración extemporánea sin requerimi. Previo,255000,0,255000,40410.14
,,39210,Recargo ejecutivo.,105000,0,105000,111750.86
,,39211,Recargo de apremio.,325000,0,325000,765140.44
,,39300,PRODUCTO DE LOS INTERESES DE DEMORA,265000,0,265000,-210824.06
,,39610,Cuotas de urbanización.,9016070.57,0,9016070.57,141195.68
,,39700,Canon por aprovechamientos urbanísticos.,1,0,1,0
,,39710,Otros ingresos por aprovechamientos urbanísticos.,1,0,1,0
,,39901,RECURSOS EVENTUALES,28494,244639.21,273133.21,941222.6
,,39902,INGRESOS DEL ESTADO POR EL CENSO ELECTORAL,2575,0,2575,3229.41
,,39903,ALCANCES,1,0,1,43253.11
,,39904,INGRESOS POR PUBLICACIONES DE ANUNCIOS,1,0,1,0
,,39905,INGRESOS POR ACCIONES SUBSIDIARIAS,1,4024.89,4025.89,130529.3
,,39907,DERECHOS DE EXAMEN,1,0,1,-43.46
,,39908,PREMIO COBRANZA RECARGO PROVINCIAL IAE,99000,0,99000,85316.99
,,42010,Fondo Complementario de Financiación.,45732940,0,45732940,45393464.99
,,42020,Compensación por beneficios fiscales.,350000,0,350000,0
,,42090,Otras transf corrientes de la Admón General del Estado.,63875,424901.34,488776.34,300820.09
,,42091,OTRAS TRANSFERENCIAS: DEFICIT TRANSPORTE URBANO,1900000,0,1900000,1423688.18
,,42390,"De soci merc estat,entid públic empr y otros organ públicos",1,0,1,0
,,42392,DE EMP. PÚB. Y OTROS ENTES PÚB. SDAD.ESTATAL DE CONMEM. CULT,1,0,1,0
,,42393,DE E. PUB Y OT.ENTES PUB.DEL EDO: AUTORIDAD PORTUARIA CORUÑA,1,0,1,0
,,44100,DE EMPRESAS DE LA ENTIDAD LOCAL,1,20000,20001,20000
,,45000,Participación en tributos de la Comunidad Autónoma.,6558976.14,0,6558976.14,6654678.84
,,45002,Trans ctes en cumplimiento de conv Serv Soc y Polít de Igual,1916670.86,829292.81,2745963.67,2611004.43
,,45030,Trans ctes en cumpl de conv sus con C.A en mat de Educación,1,9401.58,9402.58,7819.34
,,45050,Tran ctes en cumpl de conv sus con C.A en mat de Em y Desarr,3245.57,433413.59,436659.16,356866.77
,,45060,Otras trans ctes en cumplimiento de conv suscritos con C.A,1,14376.81,14377.81,360087.6
,,45100,DE OOAA DE LA COMUNIDAD AUTONOMA,1,70000,70001,0
,,45101,DE LA UNIVERSIDAD DE LA CORUÑA,400000,0,400000,0
,,45300,DE EMP. PUB. Y OT. ENTES PUB. DE  CCAA.,1,67796.61,67797.61,0
,,45390,"DE S. MERCANTILES, EPE Y OTROS OOPB DEPENDIENTES DE LAS CCAA",1,0,1,0
,,46100,DE LA DIPUTACION PROVINCIAL DE LA CORUÑA,1,2521564.53,2521565.53,2351635.42
,,47000,TRANSFERENCIAS CORRIENTES DE EMPRESAS PRIVADAS,1,104449.15,104450.15,146449.15
,,48000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,1,10753.97,10754.97,55866.9
,,49000,DEL FONDO SOCIAL EUROPEO,313493.88,193922.4,507416.28,31091.69
,,49100,DEL FONDO DE DESARROLLO REGIONAL,1,0,1,0
,,49200,DEL FONDO DE COHESION,1,0,1,0
,,49400,Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER).,0,0,0,0
,,49700,OTRAS TRANSFERENCIAS DE LA UNION EUROPEA,1,6154.86,6155.86,2700
,,50400,"INT.SOC.MERCANTILES.EST.,ENT.PUB.EMPRESARIALES Y OT.ORG.PUB.",1,0,1,0
,,50700,INT.DE EMPRESAS PRIVADAS,1,0,1,30134.37
,,52000,INTERESES POR DEPOSITOS EN BANCOS Y CAJAS,1700000,0,1700000,578068.9
,,53401,PARTICIPACION EN BENEFICIOS EMALCSA,1334655.07,0,1334655.07,1334655.07
,,54100,INGR.DERIVADOS ALQUILER INMUEBLES URB.,300000,0,300000,487581.29
,,54910,INGRESOS CAMBIO ARRENDATARIO DE LOCALES,100,0,100,0
,,54920,INGR.DERIVADOS CESION LOCALES NEGOCIO,6000,0,6000,0
,,55001,POR CONCESIONES DE TRANSPORTES Y ESTACIONES DE SERVICIO,11500,0,11500,-21344
,,55002,POR OTRAS CONCESIONES ADMINISTRATIVAS,800000,0,800000,880996.89
,,55003,CANON CONCESION HOSPITAL LABACA,519346.26,0,519346.26,1107143.24
,,55004,CANON CONCESION MATADERO,177981.07,0,177981.07,0
,,59900,OTROS INGRESOS PATRIMONIALES,1,0,1,95.51
,,60000,INGRESOS POR VENTAS SOLARES DEL PATRIMONIO MPAL. DEL SUELO,1,0,1,3732.75
,,60100,VENTA FINCAS RUSTICAS DEL PATRIMONIO MUNICIPAL,1,0,1,0
,,60200,ING.ENAJEN.PARCELAS SOBRANTES VIAS PUBL.,1,0,1,0
,,61901,INGRESOS POR ENAJENACION DE VIVIENDAS Y LOCALES,500000,0,500000,0
,,72000,TRANSFERENCIAS DE CAPITAL DE LA ADMON.GENERAL DEL ESTADO,1185110,1066742.83,2251852.83,4806893.85
,,72190,De otros Organismos Autónomos y agencias.,1,0,1,0
,,73001,TRANSFERENCIAS DE CAPITAL DEL IMSERSO,1,24000,24001,24000
,,75002,Trans cap en cumplimiento de conv Serv Soc y Polít de Iguald,1,0,1,0
,,75060,Otras transf de capital en cump de conv suscritos con la C.A,1,240487.04,240488.04,427112.82
,,75100,DE OOAA DE LA COMUNIDAD AUTONOMA,808055,76405.5,884460.5,101033.51
,,76100,DE LA DIPUTACION PROVINCIAL,167994.35,224422.42,392416.77,254662.44
,,77000,TRANSFERENCIAS DE CAPITAL DE EMPRESAS PRIVADAS,1,0,1,0
,,78000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,1,16000,16001,4000
,,78001,APORTACIONES  ENTIDADES BENEFICIARIAS DE  PROGRAMAS SOCIAL,1,0,1,0
,,79000,FONDO SOCIAL EUROPEO,1,0,1,575.09
,,79100,FONDO EUROPEO DE DESARROLLO REGIONAL,750109.83,529659.25,1279769.08,1736690.97
,,79200,FONDO DE COHESION,1,0,1,0
,,79700,OTRAS TRANSFERENCIAS DE LA UNION EUROPEA,1,0,1,0
,,83000,REINTEGRO ANTICIPOS AL PERSONAL,1,453186.04,453187.04,533854.97
,,87000,Para gastos generales.,1,9228068.58,9228069.58,0
,,87010,Para gastos con financiación afectada.,1,10065977.93,10065978.93,0
,,91201,OPERACIONES DE TESORERIA,1,0,1,0
,,91301,CONCIERTO CREDITOS FINANC.PRESUPUESTO,11450000,16873282.05,28323282.05,18994863.24
#TOT.,,,,225000000,43752923.39,268752923.39,228132709.42
