#,Alias,Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
,,31102,TASA SERVICIOS SANIDAD PREVENTIVA,5246.73,0,5246.73,3933.84
,,31104,SERVICIO DE AYUDA A DOMICILIO,500754.18,0,500754.18,306795
,,31300,UTILIZACION INSTALAC.DEPORTIVAS MPLES.,220000,0,220000,159484.41
,,31901,UTILIZACION INSTALACIONES CASA CIENCIAS,100000,0,100000,100596.22
,,31902,UTILIZACION INSTALACIONES M.ARQUEOLOGICO,55000,0,55000,47591
,,31903,UTILIZACION INSTALACIONES DE LA DOMUS,120000,0,120000,89118.36
,,31904,UTILIZACION INSTALACIONES DEL AQUARIUM,840000,0,840000,766796.42
,,32100,LICENCIAS URBANÍSTICAS,900000,0,900000,346570.95
,,32200,CEDULAS DE HABITABILIDAD Y LICENCIAS DE PRIMERA OCUPACIÓN,300000,0,300000,32655.31
,,32301,LICENCIAS DE APERTURAS,300000,0,300000,119943.65
,,32500,TRAMITACIÓN Y EXPEDICIÓN DE DOCUMENTOS,547000,0,547000,319323.55
,,32600,"RET., TRASLAD. Y DEPÓS. VEHICULOS",1000000,0,1000000,846009.61
,,32901,SERV.ESPEC. VIGILANCIA  ESPECTÁCULOS Y TRANSPORTES,12000,0,12000,1016.29
,,32902,LICENCIAS UTILIZACION SERV.URBANOS DE TRANSPORTE,100000,0,100000,78781.53
,,32904,MERCADOS MUNICIPALES,450000,0,450000,135298.94
,,32905,ESTACION DE AUTOBUSES,500000,0,500000,0
,,32906,INDUSTRIAS CALLEJERAS Y AMBULANTES,50000,0,50000,34593.32
,,33000,TASA DE ESTACIONAMIENTO DE VEHICULOS,2850092.17,0,2850092.17,651813.49
,,33100,TASA POR ENTRADA DE VEHICULOS,2500000,0,2500000,2043475.83
,,33200,UTILIZAC.PRIVATIVA O APROV.ESP.POR EMP.DE SERV.DE SUMINIST,4650000,0,4650000,2697782.29
,,33300,UTILIZ.PRIVAT.O APROV.ESPEC.POR EMP.SERV.TELECOMUNICACIONES,600000,0,600000,667087.88
,,33400,TASA POR APERTURA DE CALAS Y ZANJAS,25000,0,25000,75633.15
,,33500,TASA POR OCUPACION DE LA VIA PUBLICA CON TERRAZA,195000,0,195000,18598.1
,,33600,OCUP. DE VIA PUBLICA CON SUSPENSION  DEL TRAFICO RODADO,400000,0,400000,317354.66
,,33700,APROVECHAMIENTO VUELO TERRENOS USO PUBLICO LOCAL,2700,0,2700,0
,,33800,COMPENSACION TELEFONICA DE ESPAÑA S.A.,1000000,0,1000000,742777.3
,,33901,"OCUP.TERR.USO PUB. MERCANCIAS,ESCOMBROS,VALLAS,ANDAMIOS...",450000,0,450000,192730.03
,,33902,OCUPACION TERRENOS USO PUBLICO CON KIOSCOS,35000,0,35000,15171.04
,,33903,OCUPACION TERRENOS USO PUBLICO CON PUESTOS Y BARRACAS,11000,0,11000,12120.92
,,33904,OCUPACION TERRENOS USO PUB. DEPOSITOS Y APARATOS DISTRIBUC.,17000,0,17000,28438.07
,,33905,APROVECHAMIENTO SUBSUELO DE TERRENOS DE USO PUBLICO LOCAL,500,0,500,0
,,34401,"SERVICIOS PRESTADOS EN INSTALAC. CULTURALES, EDUCATIVAS...",75000,0,75000,62368.01
,,34901,PRESTACION SERVICIOS DEL CENTRO DE PROCESO DE DATOS,3000,0,3000,1591.9
,,34902,UTILIZACION BIENES PROPIEDAD MUNICIPAL,500,0,500,0
,,34904,PRESTACION SERVICIOS EN EL CENTRO MUNICIPAL DE EMPRESAS,25019.54,0,25019.54,13399.97
,,35100,C.E.PARA ESTABLEC.O AMPLIAC.DE SERVICIOS,930500,208352.51,1138852.51,0
,,36001,"VENTA ENVASES LIGEROS, PAPEL Y OTROS RESIDUOS",2000000,0,2000000,1912516.77
,,36002,VENTAS ENERGÍA,630000,0,630000,0
,,36100,VENTA DE PUBLICACIONES,30000,0,30000,0
,,36200,VENTA DE OBJETOS CASA DE LAS CIENCIAS,1,0,1,0
,,36201,VENTA DE OBJETOS MUSEO ARQUEOLÓGICO,1,0,1,0
,,38900,OTROS REINTEGROS DE OPERACIONES CORRIENTES,310000,0,310000,495567.03
,,39100,Multas por infracciones urbanísticas.,50000,0,50000,40601
,,39110,Multas por infracciones tributarias y análogas.,500000,0,500000,80751.67
,,39120,Multas por infracciones de la Ordenanza de circulación.,4200000,0,4200000,1778250.17
,,39190,Otras multas y sanciones.,200000,0,200000,73801.2
,,39200,Recargo por declaración extemporánea sin requerimi. Previo,55000,0,55000,24292.38
,,39210,Recargo ejecutivo.,100000,0,100000,83665.7
,,39211,Recargo de apremio.,700000,0,700000,356864.66
,,39300,PRODUCTO DE LOS INTERESES DE DEMORA,600000,0,600000,115731.83
,,39610,Cuotas de urbanización.,5952843.71,691596.47,6644440.18,5693.9
,,39700,Canon por aprovechamientos urbanísticos.,1,0,1,0
,,39710,Otros ingresos por aprovechamientos urbanísticos.,1,0,1,0
,,39901,RECURSOS EVENTUALES,500000,0,500000,840111.98
,,39902,INGRESOS DEL ESTADO POR EL CENSO ELECTORAL,2575,0,2575,0
,,39903,ALCANCES,1,0,1,0
,,39904,INGRESOS POR PUBLICACIONES DE ANUNCIOS,30000,0,30000,18449.76
,,39905,INGRESOS POR ACCIONES SUBSIDIARIAS,1,22749.42,22750.42,50166.19
,,39907,DERECHOS DE EXAMEN,1,0,1,0
,,39908,PREMIO COBRANZA RECARGO PROVINCIAL IAE,95000,0,95000,83361.77
,,42010,Fondo Complementario de Financiación.,56433341.98,0,56433341.98,40439261.29
,,42020,Compensación por beneficios fiscales.,350000,0,350000,0
,,42090,Otras transf corrientes de la Admón General del Estado.,88550,62594,151144,158636.21
,,42091,OTRAS TRANSFERENCIAS: DEFICIT TRANSPORTE URBANO,1500000,0,1500000,0
,,42190,TRANSFERENCIAS CORRIENTES DE OTROS OOAA Y AGENCIAS,1,85801,85802,164912.44
,,42390,"De soci merc estat,entid públic empr y otros organ públicos",1,0,1,0
,,42392,DE EMP. PÚB. Y OTROS ENTES PÚB. SDAD.ESTATAL DE CONMEM. CULT,1,0,1,0
,,42393,DE E. PUB Y OT.ENTES PUB.DEL EDO: AUTORIDAD PORTUARIA CORUÑA,1,0,1,0
,,44100,DE EMPRESAS DE LA ENTIDAD LOCAL,1,32150.79,32151.79,74000
,,45000,Participación en tributos de la Comunidad Autónoma.,6430368,0,6430368,4879530.06
,,45002,Trans ctes en cumplimiento de conv Serv Soc y Polít de Igual,2100000,816694.8,2916694.8,2141914.43
,,45030,Trans ctes en cumpl de conv sus con C.A en mat de Educación,1,0,1,105800
,,45050,Tran ctes en cumpl de conv sus con C.A en mat de Em y Desarr,329550.6,477830.76,807381.36,572425.02
,,45060,Otras trans ctes en cumplimiento de conv suscritos con C.A,1,0,1,5150
,,45100,DE OOAA DE LA COMUNIDAD AUTONOMA,1,0,1,17275
,,45101,DE LA UNIVERSIDAD DE LA CORUÑA,200000,0,200000,0
,,45102,DE AGENCIAS DE LA COMUNIDAD AUTONOMA,0,15000,15000,0
,,45300,DE EMP. PUB. Y OT. ENTES PUB. DE  CCAA.,1,0,1,0
,,45390,"DE S. MERCANTILES, EPE Y OTROS OOPB DEPENDIENTES DE LAS CCAA",1,0,1,0
,,46100,DE LA DIPUTACION PROVINCIAL DE LA CORUÑA,1,247995.02,247996.02,250017.61
,,46600,DE OTRAS ENTIDADES QUE AGRUPEN MUNICIPIOS,0,0,0,-2920.25
,,47000,TRANSFERENCIAS CORRIENTES DE EMPRESAS PRIVADAS,1,68008.12,68009.12,282000
,,48000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,1,43727.82,43728.82,40000
,,49000,DEL FONDO SOCIAL EUROPEO,1,0,1,0
,,49100,DEL FONDO DE DESARROLLO REGIONAL,1,0,1,0
,,49200,DEL FONDO DE COHESION,1,0,1,0
,,49400,Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER).,1,0,1,0
,,49700,OTRAS TRANSFERENCIAS DE LA UNION EUROPEA,1,644.72,645.72,0
,,49900,"Otras transf del exterior, excluyendo la Unión Europea.",1,3375,3376,0
,,50400,"INT.SOC.MERCANTILES.EST.,ENT.PUB.EMPRESARIALES Y OT.ORG.PUB.",1,0,1,0
,,50700,INT.DE EMPRESAS PRIVADAS,25000,0,25000,38800.77
,,52000,INTERESES POR DEPOSITOS EN BANCOS Y CAJAS,60000,0,60000,5846.33
,,53401,DIVIDENDOS Y PARTICIPACION EN BENEFICIOS EMALCSA,4000000,0,4000000,2500000
,,54100,INGR.DERIVADOS ALQUILER INMUEBLES URB.,640000,0,640000,420752.81
,,54910,INGRESOS CAMBIO ARRENDATARIO DE LOCALES,1,0,1,0
,,54920,INGR.DERIVADOS CESION LOCALES NEGOCIO,1,0,1,0
,,55001,POR CONCESIONES DE TRANSPORTES Y ESTACIONES DE SERVICIO,1,0,1,0
,,55002,POR OTRAS CONCESIONES ADMINISTRATIVAS,890000,0,890000,679222.37
,,55003,CANON CONCESION HOSPITAL LABACA,532662.83,0,532662.83,0
,,55004,CANON CONCESION MATADERO,1,0,1,0
,,55005,CANON CONCESION ORA,913357.64,0,913357.64,0
,,59900,OTROS INGRESOS PATRIMONIALES,1,0,1,4420.09
,,60000,INGRESOS POR VENTAS SOLARES DEL PATRIMONIO MPAL. DEL SUELO,1,0,1,0
,,60100,VENTA FINCAS RUSTICAS DEL PATRIMONIO MUNICIPAL,1,0,1,0
,,60200,ING.ENAJEN.PARCELAS SOBRANTES VIAS PUBL.,1,0,1,0
,,61901,INGRESOS POR ENAJENACION DE VIVIENDAS Y LOCALES,1,0,1,0
,,61902,INGRESOS POR ENAJENACION DE OTRAS INVERSIONES REALES,768000,0,768000,768000
,,72000,TRANSFERENCIAS DE CAPITAL DE LA ADMON.GENERAL DEL ESTADO,963704.16,1180196.1,2143900.26,615581.57
,,72190,De otros Organismos Autónomos y agencias.,1,0,1,0
,,73001,TRANSFERENCIAS DE CAPITAL DEL IMSERSO,1,0,1,0
,,75002,Trans cap en cumplimiento de conv Serv Soc y Polít de Iguald,1,0,1,0
,,75060,Otras transf de capital en cump de conv suscritos con la C.A,1,24403.55,24404.55,0
,,75100,DE OOAA DE LA COMUNIDAD AUTONOMA,289000,0,289000,0
,,76100,DE LA DIPUTACION PROVINCIAL,166682.39,1186229.24,1352911.63,22983.01
,,77000,TRANSFERENCIAS DE CAPITAL DE EMPRESAS PRIVADAS,1,0,1,0
,,78000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,1,1515923.16,1515924.16,1350378.18
,,78001,APORTACIONES  ENTIDADES BENEFICIARIAS DE  PROGRAMAS SOCIAL,1,0,1,0
,,79000,FONDO SOCIAL EUROPEO,1,0,1,0
,,79100,FONDO EUROPEO DE DESARROLLO REGIONAL,1,0,1,0
,,79200,FONDO DE COHESION,1,0,1,0
,,79700,OTRAS TRANSFERENCIAS DE LA UNION EUROPEA,1,0,1,0
,,83000,REINTEGRO ANTICIPOS AL PERSONAL,1,290530.37,290531.37,345118.18
,,83001,REINTEGRO ANTICIPOS MIEMBROS CORPORACION,1,0,1,0
,,87000,Para gastos generales.,1,5909696.81,5909697.81,0
,,87010,Para gastos con financiación afectada.,1,12659625.14,12659626.14,0
,,91100,Préstamos recibidos a l/p de entes del sector público.,0,0,0,0
,,91201,OPERACIONES DE TESORERIA,1,0,1,0
,,91301,CONCIERTO CREDITOS FINANC.PRESUPUESTO,9336848.75,5832002.12,15168850.87,1739688
#TOT.,,,,244500000,31375126.92,275875126.92,185879331.19
