#numero,fecha,importe,tercero,beneficiario,descripcion,programa
F/2017/46 ,2017-01-03,566.39,A36650992,ASCENSORES ENOR SA,"IMPUTACION FRA.Nº AE 1016 AO EXERCICIO 2017, MANTEMENTO PORTAS AUTOMATICAS BIBLIOTECAS OUTUBRO A DECEMBRO 2016 ",3321 - BIBLIOTECAS PÚBLICAS 
F/2017/48 ,2017-01-03,1041.81,A36650992,ASCENSORES ENOR SA,"IMPUTACION DA FRA. AE 1018 AO EXERCICIO 2017, DECEMBRO 2016, MANTEMENTO ASCENSORES CENTROS CIVICOS MUNICIPAIS ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/49 ,2017-01-03,169.57,A36650992,ASCENSORES ENOR SA,FRA: AE 1019_DECEMBRO 2016_ SERVIZO DE MANTEMENTO DO ASCENSOR SITO NA RUA FRANJA 20 ,931 - POLÍTICA ECONÓMICA Y FISCAL. 
F/2017/51 ,2017-01-03,5596.65,B15549504,LOPEZ SANCHO MONTE ALTO S L,FRA. 1-17 4: APORTACION EIM MONTE ALTO XANEIRO 2017. ,323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/52 ,2017-01-03,60.51,B15371974,VENTOPRINT S L,"IMPUTACION FRA.Nº FE 33 AO EXERCICIO 2017, SUBMINISTRO DE 300 TARXETAS PARA XULIO VAZQUEZ (ASESOR CULTURA) ",330 - ADMINISTRACIÓN GENERAL DE CULTURA. 
F/2017/53 ,2017-01-03,925.65,A59919480,IMAN SEGURIDAD SA,"IMPUTACION DA FRA. 0057161032 AO EXERCICIO 2017, 15/08/2016 - 14/11/2016, CUOTA CONEXION CENTRAL RECEPTORA ALARMAS ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/54 ,2017-01-03,640.0,J15526619,LICEO LA PAZ S C,"IMPUTACION DA FRA. CO2016 10 AO EXERCICIO 2017, DECEMBRO 2016, PROGRAMA BOLSAS COMEDOR COLEXIO LICEO LA PAZ ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/55 ,2017-01-03,108.9,A59919480,IMAN SEGURIDAD SA,"IMPUTACION DA FRA. 0057161102 AO EXERCICIO 2017, 01/07/2016 - 31/12/2016, CUOTA CONEXION CRA CENTRO NOVOBOANDANZA ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/56 ,2017-01-03,217.8,A59919480,IMAN SEGURIDAD SA,"FRA. 0057161136 CUOTA ANUAL CENTRAL RECEPTORA DE ALARMAS, RONDA DE NELLE 18, ANO 2016 ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/57 ,2017-01-03,473.11,A59919480,IMAN SEGURIDAD SA,"IMPUTACION DA FRA. 0057161105 AO EXERCICIO 2017, 15/11/2016 - 31/12/2016, CUOTA CONEXION CENTRAL RECEPTORA ALARMAS ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/58 ,2017-01-03,54.45,A59919480,IMAN SEGURIDAD SA,"IMPUTACION DA FRA. 0057161104 AO EXERCICIO 2017, 01/10/2016 - 31/12/2016, CUOTA CONEXION CRA CENTRO GARCIA SABELL ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/59 ,2017-01-03,54.45,A59919480,IMAN SEGURIDAD SA,"IMPUTACION DA FRA. 0057161103 AO EXERCICIO 2017, 01/10/2016 - 31/12/2016, CUOTA CONEXION CRA CENTRO CIVICO A SILVA ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/60 ,2017-01-03,16232.33,B15835861,CARINBERSANA S L,FRA. AY-2017- 1: APORTACION EIM ARELA XANEIRO 2017. ,323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/61 ,2017-01-03,266.59,B15036593,ELECTROSONI SL,"FAC. 17 1, MANTEN 2 EQUIP FIJOS, DOS MOVIL Y DOS PORT PROTEC EDIFICIO AYUNT, MIEMBROS CORP Y VEHIC OFIC, DICIEMBRE 2016 ",132 - SEGURIDAD Y ORDEN PÚBLICO. 
F/2017/63 ,2017-01-03,296.45,B15371974,VENTOPRINT S L,FELICITACIONES NADAL 2016 ,[ANTICIPO DE CAJA]
F/2017/64 ,2017-01-03,2016.04,B15374119,INMOBILIARIA LAGUNITA S L,"FACT. Rect-2016 23 ALQUILER GARAJES POLICIA LOCAL, DICIEMBRE 2016 ",132 - SEGURIDAD Y ORDEN PÚBLICO. 
F/2017/65 ,2017-01-03,10855.06,B15612039,SIAD 24 GALICIA SL,"FRA. EL 523 SERVIZO DE CANGURAXE, EN ESPAZOS DE ATENCION A INFANCIA E REDE LUDOTECAS, DECEMBRO 2016 ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/66 ,2017-01-03,40416.66,B15728447,AD NUTUM SERVICIOS SL,IMPUTACION AO EXERCICIO 2017 DA FRA 16- 31 LIMPEZA DAS INSTALACIÓNS DEPORTIVAS DECEMBRO. ,342 - INSTALACIONES DEPORTIVAS. 
F/2017/67 ,2017-01-03,352.11,B15371974,VENTOPRINT S L,"FACTURA NÚMERO FE 35, DE PARTES SERVICIOS INSPECCION PUBLICA ( ALBARAN 16000936 ) ",920 - ADMINISTRACIÓN GENERAL . 
F/2017/68 ,2017-01-03,6032.24,B15547979,JARDINERIA ARCE S L,IMPUTACION AO EXERCICIO 2017 DA FRA 01 0100001-17 MANTEMENTO CAMPOS DE FÚTBOL MUNICIPALES DICIEMBRE 2016.  ,342 - INSTALACIONES DEPORTIVAS. 
F/2017/69 ,2017-01-03,869.25,A28028744,AGENCIA EFE SA,Texto España / Texto Galicia ,922 - COORDINACIÓN Y ORGANIZACIÓN INSTITUCIONAL DE ENTID. LOCALES 
F/2017/70 ,2017-01-03,11091.63,B27278845,A BILLARDA SL,"IMPUTACION DA FRA. 01 271 AO EXERCICIO 2017, DECEMBRO 2016, SERVIZO VIXILANCIA CC SAN DIEGO, STA LUCIA, MARGARITA E BENS ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/71 ,2017-01-03,25246.29,A28781151,SERVICIOS Y MATERIALES S A,FACTURA B-16 127 POLO SERVIZO DE MANTEMENTO HIDRÁULICO DO ACUARIO DURANTE O MES DE DECEMBRO ,3331 - DIVULGACIÓN CIENTÍFICA Y TÉCNICA 
F/2017/72 ,2017-01-03,52938.31,A28781151,SERVICIOS Y MATERIALES S A,FACTURA B-16 128 POLO SERVIZO DE MANTEMENTO BIOLÓXICO DO ACUARIO DURANTE O MES DE DECEMBRO ,3331 - DIVULGACIÓN CIENTÍFICA Y TÉCNICA 
F/2017/73 ,2017-01-03,561.02,U82437211,TECMED OTTO UTE,"FRA. CO16093 I. P. C.   0,2%    OCT.E  NOVI 2016.    MTO. COLECTORES ",1621 - RECOGIDA DE RESIDUOS. 
F/2017/74 ,2017-01-03,288.09,B15434251,ATI SISTEMAS S L,"FRA. A AF16001127 MANTEMENTO CLIMATIZACION E OUTRAS INSTALACIONS NAS OFICINAS DO 010, DECEMBRO 2016 ",920 - ADMINISTRACIÓN GENERAL . 
F/2017/75 ,2017-01-03,140538.26,U82437211,TECMED OTTO UTE,FRA. Nº CO16094. DECEMBRO 2016. MANTEMENTO COLECTORES E PAPELEIRAS ,1621 - RECOGIDA DE RESIDUOS. 
F/2017/76 ,2017-01-03,13612.5,A28986800,SERVICIOS SECURITAS SA,"IMPUTACIÓN DA FRA 653116120099, DECEMBRO, O EXERCICIO 2017,SERVIZO DE VIXILANCIA CC S.FAMILIA, LABAÑOU E MALLOS  ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/77 ,2017-01-03,127.05,F20025318,ORONA S COOP,"IMPUTACION DA FRA. 1604 1604331494 AO EXERCICIO 2017, DECEMBRO 2016, MANTEMENTO ASCENSOR CC CIDADE VELLA ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/78 ,2017-01-03,670.1,F20025318,ORONA S COOP,FRA.Nº 1604331442 SERIE 1604 OUTUBRO-DECEMBRO 2016 MANTEMENTO ASCENSOR MERCADO SANTA LUCIA ,"4312 - MERCADOS, ABASTOS Y LONJAS "
F/2017/79 ,2017-01-03,1361.25,F20025318,ORONA S COOP,FACTURA Nº 1604 1604331500 POLO MANTEMENTO DOS ASCENSORES DOS MC2 DURANTE O ÚLTIMO TRIMESTRE DE 2016 ,3331 - DIVULGACIÓN CIENTÍFICA Y TÉCNICA 
F/2017/80 ,2017-01-03,6624.75,U82437211,TECMED OTTO UTE,"FRA, CO16095 REFORZO NADAL DE COLOCACIÓN E RETIRADA DIARIA DE COLECTOR ",1621 - RECOGIDA DE RESIDUOS. 
F/2017/81 ,2017-01-03,3833.32,B15764582,ECOLIMSISTEM S L,FRA. Nº 2016 82. DECEMBRO 2016. MANTEMENTO ILLAS COLECTORES SOTERRADOS TIPO MOLOK ,1621 - RECOGIDA DE RESIDUOS. 
F/2017/82 ,2017-01-03,5301.59,B15764582,ECOLIMSISTEM S L,FRA. Nº 2016 83. DECEMBRO 2016. MANTEMENTO COLECTORES SOTERRADOS (AGÁS TIPO MOLOK) ,1621 - RECOGIDA DE RESIDUOS. 
F/2017/86 ,2017-01-03,80.2,B15116726,ALMACENES PARDO S L,IMPUTAR AO ORZAMENTO VIXENTE A FACTURA E -1787 FIBRA PARA MANTENTO ZONA MAKER EN DOMUS ,3331 - DIVULGACIÓN CIENTÍFICA Y TÉCNICA 
F/2017/87 ,2017-01-03,8518.4,B27014398,AUTOS IGLESIAS SL,"FAC. C1 C116002943, RENTING OCHO VEHÍCULOS PATRULLA, POLICÍA LOCAL, DICIEMBRE 2016 ",132 - SEGURIDAD Y ORDEN PÚBLICO. 
F/2017/88 ,2017-01-03,1522.95,B27014398,AUTOS IGLESIAS SL,"FAC. C1 C116002944, RENTING VEHÍCULO FURGONETA, MATRÍCULA: 8816 HWT, POLICÍA LOCAL, DICEMBRE 2016 ",132 - SEGURIDAD Y ORDEN PÚBLICO. 
F/2017/89 ,2017-01-03,25.4,B15480296,LOGALDIS CORUÑA SL,IMPUTAR A FACTURA FC 159992016FC18890 POLOS SERVIZOS DE MENSAXERIA DOS MUSEOS CIENTIFICOS ,3331 - DIVULGACIÓN CIENTÍFICA Y TÉCNICA 
F/2017/90 ,2017-01-03,410.19,A15019243,EMPRESA MONFORTE SA,"IMPUTACION DA FRA. L L292/16 AO EXERCICIO 2017, DECEMBRO 2016, ALUGUER VEHICULO SEN CONDUCTOR MATRICULA 2385JHT ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/91 ,2017-01-03,5901.67,B87222014,PROSEGUR SOLUCIONES INTEGRALES DE SEGURIDAD ESPAÑA SL,IMPUTACION AO EXERCICIO 2017 FRA 200 002156L 002156L0163 VIXILANCIA INSTALACIONS DEPORTIVAS (1/12/206-31/12/2016) ,342 - INSTALACIONES DEPORTIVAS. 
F/2017/92 ,2017-01-03,20097.0,*,[Anonimizado]*,"IMPUTACION DA FRA. 15000-2017-01-1-N AO EXERCICIO 2017, DECEMBRO 2016, SERVIZO DE TELEASISTENCIA DOMICILIARIA ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/93 ,2017-01-03,1331.0,B15843394,CEGA CONGRESOS AUDIOVISUALES VIAJES SL,"IMPUTACION FRA.Nº Emit.16- 904 AO EXERCICIO 2017, ALUGUER DE EQUIPO TECNICO PARA EXPOSICION 25 ANOS ",3321 - BIBLIOTECAS PÚBLICAS 
F/2017/94 ,2017-01-03,11154.81,B70171830,DULCE COMIENZO S L,FRA. Emit- 90: APORTACION EIM MESOIRO XANEIRO 2017. ,323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/95 ,2017-01-03,35.61,A15066913,ANTONIO PAZOS SA,FACTURA EM- 442 POLA REPARACIÓN BOMBA PISCINA ACUARIO. MANTEMENTO INSTALACIÓNS ,3331 - DIVULGACIÓN CIENTÍFICA Y TÉCNICA 
F/2017/96 ,2017-01-03,16940.0,B70320619,ARETE GESTION DE PERSONAS S L,FRA.Nº 65 DECEMBRO 2016 SERVIZO DE CONSULTA DENOMINADO TENDAS A EXAME NOS BARRIOS DOS MALLOS E FALPERRA ,"430 - ADMÓN GENERAL DE COMERCIO, TURISMO Y PYMES. "
F/2017/99 ,2017-01-03,87.12,B15333354,MARKETING DIRECTO PUBLINOR O SL,IMPUTACION AO EXERCICIO 2017 FRA Emit- 24 COLOCACIÓN DE CARTEIS II CARREIRA POPULAR MATOGRANDE. ,341 - PROMOCIÓN Y FOMENTO DEL DEPORTE. 
F/2017/100 ,2017-01-03,13037.8,A61562898,ASTRA SISTEMAS SA,"FACT. U 2044 SERVICIO DE VIGILANCIA DEL MONTE DE SAN PEDRO, DICIEMBRE 2016 ",1729 - PROTECCIÓN Y MEJORA DEL MEDIO AMBIENTE. OTROS 
F/2017/101 ,2017-01-03,6292.0,B70232012,ATLANTIC PONTE 2000 SLU,FRA.Nº 001 SERIE AP 2017- DECEMBRO/2016 CONSERXARIA E OUTROS SERVIZOS COMPLEMENTARIOS NO CENTRO MPAL EMPREGO ,241 - FOMENTO DEL EMPLEO. 
F/2017/105 ,2017-01-03,1875.5,B15046337,MUDANZAS HERCULES SL,"IMPUTACION FRA.Nº Emit- 1389 AO EXERCICIO 2017, TRASLADO INSTRUMENTOS BANDA MUNICIPAL DECEMBRO 2016 ",3343 - BANDA MUNICIPAL DE MÚSICA 
F/2017/106 ,2017-01-03,181.5,B15046337,MUDANZAS HERCULES SL,"IMPUTACION FRA.Nº Emit- 1390 AO EXERCICIO 2017, TRASLADO DE SILLAS PARA BILIOTECAS CONCERTO NADAL 2016 ",3321 - BIBLIOTECAS PÚBLICAS 
F/2017/107 ,2017-01-03,847.0,B15046337,MUDANZAS HERCULES SL,"FRA. Emit- 1391 TRASLADOS DE MOBILIARIO E MATERIAL ENTRE DEPENDENCIAS DO SERVIZO DE CULTURA, DECEMBRO 2016 ",920 - ADMINISTRACIÓN GENERAL . 
F/2017/108 ,2017-01-03,332.75,B15046337,MUDANZAS HERCULES SL,FRA. Emit- 1392 TRASLADO DE MOBILIARIO INTERNO ENTRE DEPENDENCIAS (BOMBEIROS-CENTRO DE EMPREGO) ,920 - ADMINISTRACIÓN GENERAL . 
F/2017/109 ,2017-01-03,515.46,B15046337,MUDANZAS HERCULES SL,FRA. Emit- 1393 TRASLADO DE ENSERES ENTRE DEPENDENCIAS (CONSTRUCCIÓNS NACEMENTO ARTÍSTICO) ,920 - ADMINISTRACIÓN GENERAL . 
F/2017/110 ,2017-01-03,12315.85,B70188073,PASIÑOS SL,FRA. Nº /17 1: APORTACION EIM LUIS SEOANE XANEIRO 2017. ,323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/111 ,2017-01-03,148.16,B80967284,IMAN CLEANING SL,"FAC. 0020160114, LIMPIEZA VESTUARIOS DE SEÑALIZACIÓN VIAL, DICIEMBRE 2016 ",132 - SEGURIDAD Y ORDEN PÚBLICO. 
F/2017/112 ,2017-01-03,7443.92,B80967284,IMAN CLEANING SL,"FAC. 0020160113, SERVICIO DE LIMPIEZA DEL EDIFICIO DE LA JEFATURA DE LA POLICÍA LOCAL, DICIEMBRE 2016 ",132 - SEGURIDAD Y ORDEN PÚBLICO. 
F/2017/113 ,2017-01-03,6116.05,A81058927,BENTLEY SYSTEMS IBERICA S A,Bentley Map (Pre-V8i Ss 2) SELECT Sub / MicroStation SELECT Subscription / Bentley PowerCivil Spain SELECT Sub ,926 - COMUNICACIONES INTERNAS. 
F/2017/118 ,2017-01-03,302.5,B74109943,GRUPO PFS CANTABRICO GESTION EMPRESARIAL SL,BIBLIOTECAS: APOYO TRATAMIENTO INFORMACION GESTIÓN SERVICIOS PRESTADOS MES DE DICIEMBRE ( BIBLIOTECAS: APOYO TRATAMIENTO ,922 - COORDINACIÓN Y ORGANIZACIÓN INSTITUCIONAL DE ENTID. LOCALES 
F/2017/119 ,2017-01-03,17539.48,B70047816,ESCUELA INFANTIL LOS ROSALES SL,FRA. 2016 553: APORTACION EIM ROSALES XANEIRO 2017. ,323 - FUNCIONAMIENTO DE CENTROS DE ENSEÑANZA PREESCOLAR Y PRIMARIA 
F/2017/120 ,2017-01-03,49.0,B70047816,ESCUELA INFANTIL LOS ROSALES SL,"IMPUTACION DA FRA. 2016 552 AO EXERCICIO 2017, DECEMBRO 2016, PROGRAMA AXUDA PAGO ESCOLAS INFANTIS ""LOS ROSALES"" ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/121 ,2017-01-03,7916.67,B70358437,PUERTAS AFUERA COMUNICACION MEDIOAMBIENTAL Y CULTURAL S L,FRA. Nº 168. DECEMBRO 2016. EDUCACIÓN AMBIENTAL ,1729 - PROTECCIÓN Y MEJORA DEL MEDIO AMBIENTE. OTROS 
F/2017/122 ,2017-01-03,3609.83,B15932601,ITINERE 2 SERVICIOS Y OBRAS S L,"IMPUTACION DA FRA. A 54 AO EXERCICIO 2017, DECEMBRO 2016, SERVIZO DE VIXILANCIA CENTRO CIVICO DE VISMA ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/123 ,2017-01-03,2160.18,B15932601,ITINERE 2 SERVICIOS Y OBRAS S L,"IMPUTACION DA FRA. A 55 AO EXERCICIO 2017, DECEMBRO 2016, ANIMACION E DINAMIZACION SOCIOCULTURAL ESPAZOS CIBERAULAS ",231 - ASISTENCIA SOCIAL PRIMARIA 
F/2017/124 ,2017-01-03,79.33,A15030661,MOTOR SIETE SA,"FRA. FR 000003, TALLADO Y PROGRAMACION LLAVE HONDA NT700VA MATRICULA 3155GLS DE POLICIA LOCAL  ",132 - SEGURIDAD Y ORDEN PÚBLICO. 
