#,Alias,Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,,20,011,91300,AMORT.PREST.M-L PLAZO ENTES FUERA S.PUB.,12444044.6,,12444044.6,12400306.46
,,20,130,12000,Sueldos del Grupo A1.,44031.96,,44031.96,27602.22
,,20,130,12001,Sueldos del Grupo A2.,25813.04,,25813.04,26308.6
,,20,130,12003,Sueldos del Grupo C1.,39539.36,,39539.36,34523.98
,,20,130,12004,Sueldos del Grupo C2.,92164.38,,92164.38,81558.21
,,20,130,12005,Sueldos del Grupo E.,7678.58,,7678.58,7197.46
,,20,130,12006,Trienios.,37894.82,,37894.82,26360.63
,,20,130,12100,Complemento de destino.,117217.94,,117217.94,88081.2
,,20,130,12101,Complemento específico.,185883.88,,185883.88,211636.85
,,20,130,13000,Retribuciones básicas.,9328.31,,9328.31,7795.5
,,20,130,13002,Otras remuneraciones.,8897.42,,8897.42,9153.33
,,20,130,16000,Seguridad Social.,162436.19,,162436.19,157111.71
,,20,132,12000,Sueldos del Grupo A1.,44031.96,,44031.96,55487.84
,,20,132,12001,Sueldos del Grupo A2.,232317.36,-29617.18,202700.18,139554.21
,,20,132,12003,Sueldos del Grupo C1.,3479463.68,-422537.76,3056925.92,2995001.78
,,20,132,12006,Trienios.,592626.8,-70651.78,521975.02,459293.74
,,20,132,12100,Complemento de destino.,1892992.08,-413206.21,1479785.87,1417837.47
,,20,132,12101,Complemento específico.,4712201.9,989120.59,5701322.49,4905040.57
,,20,132,15102,GRATIFICACIONES PERS. FUNCIONARIO,80000.0,,80000.0,407382.9
,,20,132,16000,Seguridad Social.,3831289.77,-59511.84,3771777.93,3698862.86
,,20,134,12001,Sueldos del Grupo A2.,12906.52,,12906.52,24240.85
,,20,134,12003,Sueldos del Grupo C1.,9884.84,,9884.84,7405.45
,,20,134,12004,Sueldos del Grupo C2.,8378.58,,8378.58,8257.46
,,20,134,12006,Trienios.,4947.8,,4947.8,4542.89
,,20,134,12100,Complemento de destino.,18586.82,,18586.82,19537.44
,,20,134,12101,Complemento específico.,48913.48,,48913.48,55584.58
,,20,134,16000,Seguridad Social.,28339.34,,28339.34,36126.25
,,20,135,12000,Sueldos del Grupo A1.,29354.64,,29354.64,28463.48
,,20,135,12003,Sueldos del Grupo C1.,88963.56,,88963.56,83375.89
,,20,135,12004,Sueldos del Grupo C2.,781302.62,-67898.62,713404.0,653058.16
,,20,135,12006,Trienios.,145237.18,,145237.18,110397.98
,,20,135,12100,Complemento de destino.,540293.95,-61130.41,479163.54,414427.22
,,20,135,12101,Complemento específico.,1352028.23,,1352028.23,1314449.65
,,20,135,15102,GRATIFICACIONES PERS. FUNCIONARIO,60000.0,,60000.0,280017.31
,,20,135,16000,Seguridad Social.,934287.18,,934287.18,1067274.8
,,20,151,12000,Sueldos del Grupo A1.,366933.0,,366933.0,344452.89
,,20,151,12001,Sueldos del Grupo A2.,141971.72,,141971.72,137351.63
,,20,151,12003,Sueldos del Grupo C1.,108733.24,,108733.24,96760.99
,,20,151,12004,Sueldos del Grupo C2.,226921.66,,226921.66,177920.35
,,20,151,12005,Sueldos del Grupo E.,7678.58,,7678.58,7278.28
,,20,151,12006,Trienios.,147292.91,,147292.91,114116.31
,,20,151,12100,Complemento de destino.,491021.7,-37799.15,453222.55,389153.31
,,20,151,12101,Complemento específico.,804612.2,,804612.2,807342.37
,,20,151,13000,Retribuciones básicas.,37600.48,,37600.48,22140.99
,,20,151,13002,Otras remuneraciones.,36125.88,,36125.88,29595.26
,,20,151,16000,Seguridad Social.,653643.94,,653643.94,619402.72
,,20,152,12000,Sueldos del Grupo A1.,127865.16,6090.43,133955.59,105954.03
,,20,152,12001,Sueldos del Grupo A2.,69586.3,15104.38,84690.68,61394.12
,,20,152,12004,Sueldos del Grupo C2.,41892.9,14796.65,56689.55,54116.61
,,20,152,12006,Trienios.,32491.85,3208.69,35700.54,24140.49
,,20,152,12100,Complemento de destino.,134058.94,17575.0,151633.94,107563.08
,,20,152,12101,Complemento específico.,224920.02,24620.92,249540.94,217992.34
,,20,152,16000,Seguridad Social.,169791.68,24984.03,194775.71,167083.41
,,20,164,12000,Sueldos del Grupo A1.,14677.32,,14677.32,14161.5
,,20,164,12003,Sueldos del Grupo C1.,19769.68,,19769.68,18003.88
,,20,164,12004,Sueldos del Grupo C2.,36314.32,,36314.32,36516.44
,,20,164,12005,Sueldos del Grupo E.,122857.28,,122857.28,106620.59
,,20,164,12006,Trienios.,29323.55,,29323.55,23072.05
,,20,164,12100,Complemento de destino.,109017.3,,109017.3,90162.55
,,20,164,12101,Complemento específico.,239297.8,,239297.8,233107.78
,,20,164,16000,Seguridad Social.,163975.16,,163975.16,166325.6
,,20,165,12003,Sueldos del Grupo C1.,19769.68,,19769.68,18415.11
,,20,165,12004,Sueldos del Grupo C2.,58650.06,,58650.06,54664.1
,,20,165,12005,Sueldos del Grupo E.,7678.58,,7678.58,7197.46
,,20,165,12006,Trienios.,24400.68,,24400.68,20581.47
,,20,165,12100,Complemento de destino.,46471.88,,46471.88,39016.65
,,20,165,12101,Complemento específico.,61230.12,,61230.12,63020.54
,,20,165,16000,Seguridad Social.,88465.48,,88465.48,87773.81
,,20,170,12000,Sueldos del Grupo A1.,44031.96,,44031.96,38924.39
,,20,170,12001,Sueldos del Grupo A2.,64532.6,,64532.6,57743.26
,,20,170,12003,Sueldos del Grupo C1.,79078.72,,79078.72,70491.94
,,20,170,12004,Sueldos del Grupo C2.,75407.22,,75407.22,69073.11
,,20,170,12005,Sueldos del Grupo E.,15357.16,,15357.16,14543.09
,,20,170,12006,Trienios.,52654.27,,52654.27,45354.13
,,20,170,12100,Complemento de destino.,168406.42,,168406.42,136942.69
,,20,170,12101,Complemento específico.,322747.74,,322747.74,304399.37
,,20,170,13000,Retribuciones básicas.,12413.1,,12413.1,2983.83
,,20,170,13002,Otras remuneraciones.,14477.96,,14477.96,4713.81
,,20,170,16000,Seguridad Social.,242206.96,,242206.96,219676.24
,,20,171,12001,Sueldos del Grupo A2.,25813.04,,25813.04,27257.85
,,20,171,12004,Sueldos del Grupo C2.,25135.74,,25135.74,24549.59
,,20,171,12005,Sueldos del Grupo E.,7678.58,,7678.58,6423.82
,,20,171,12006,Trienios.,13978.51,,13978.51,12977.45
,,20,171,12100,Complemento de destino.,32613.0,,32613.0,29984.55
,,20,171,12101,Complemento específico.,57960.98,,57960.98,59607.81
,,20,171,16000,Seguridad Social.,50338.31,,50338.31,50510.43
,,20,211,10701,Del personal directivo.,288.27,,288.27,
,,20,211,12700,APORTACIÓN MUNICIPAL AL PLAN DE PENSIONES,327050.77,-326725.27,325.5,302.43
,,20,211,13700,APORTACIÓN MUNICIPAL AL PLAN DE PENSIONES,9801.12,,9801.12,
,,20,221,16007,ASISTENCIA PREVENTIVA COR,383270.59,,383270.59,360160.43
,,20,221,16008,Asistencia médico-farmacéutica.,905231.57,-416444.03,488787.54,476338.23
,,20,221,16205,Seguros.,48792.24,,48792.24,64045.94
,,20,221,16501,AYUDAS SOCIALES,442170.0,,442170.0,442147.76
,,20,230,12000,Sueldos del Grupo A1.,190805.16,33716.15,224521.31,242438.87
,,20,230,12001,Sueldos del Grupo A2.,738693.32,75519.71,814213.03,734756.77
,,20,230,12003,Sueldos del Grupo C1.,59309.04,4984.61,64293.65,52422.22
,,20,230,12004,Sueldos del Grupo C2.,184328.76,-2264.09,182064.67,159630.77
,,20,230,12005,Sueldos del Grupo E.,23035.74,1656.58,24692.32,13427.29
,,20,230,12006,Trienios.,178984.05,8411.66,187395.71,153594.9
,,20,230,12100,Complemento de destino.,623397.32,-67095.18,556302.14,556302.14
,,20,230,12101,Complemento específico.,1193564.82,147375.84,1340940.66,1358933.24
,,20,230,13000,Retribuciones básicas.,39886.87,-36000.0,3886.87,2977.92
,,20,230,13002,Otras remuneraciones.,38728.2,-34000.0,4728.2,4310.95
,,20,230,16000,Seguridad Social.,911758.84,111983.68,1023742.52,979365.98
,,20,231,22746,CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,16956.03,,16956.03,12945.29
,,20,231,2274611,REM./11 CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,,1030.65,1030.65,1030.65
,,20,232,12000,Sueldos del Grupo A1.,29354.64,690.0,30044.64,14662.86
,,20,232,12001,Sueldos del Grupo A2.,64532.6,27654.74,92187.34,70156.34
,,20,232,12003,Sueldos del Grupo C1.,9884.84,,9884.84,8870.99
,,20,232,12004,Sueldos del Grupo C2.,8378.58,1035.0,9413.58,7794.45
,,20,232,12005,Sueldos del Grupo E.,53750.06,7245.0,60995.06,44815.21
,,20,232,12006,Trienios.,12416.14,2004.54,14420.68,11303.05
,,20,232,12100,Complemento de destino.,88526.4,17528.98,106055.38,69130.98
,,20,232,12101,Complemento específico.,177097.62,42969.74,220067.36,171538.65
,,20,232,16000,Seguridad Social.,118553.57,31600.66,150154.23,116440.82
,,20,241,12000,Sueldos del Grupo A1.,124023.35,1384.45,125407.8,112718.16
,,20,241,12001,Sueldos del Grupo A2.,122611.94,20971.17,143583.11,123644.66
,,20,241,12003,Sueldos del Grupo C1.,54366.97,,54366.97,37190.07
,,20,241,12004,Sueldos del Grupo C2.,41892.9,10181.75,52074.65,42376.16
,,20,241,12005,Sueldos del Grupo E.,15357.16,,15357.16,14131.8
,,20,241,12006,Trienios.,42374.78,38.76,42413.54,36720.79
,,20,241,12100,Complemento de destino.,194819.66,10398.4,205218.06,166019.9
,,20,241,12101,Complemento específico.,307293.15,17254.45,324547.6,283014.62
,,20,241,13101,RETRIB. PERSONAL FOMENTO EMPLEO (TEMPOR. Y DISCONTINUOS),40902.04,158845.78,199747.82,227831.21
,,20,241,16000,Seguridad Social.,251678.87,82313.28,333992.15,281626.9
,,20,320,12001,Sueldos del Grupo A2.,90345.64,,90345.64,80707.43
,,20,320,12003,Sueldos del Grupo C1.,19769.68,,19769.68,15948.68
,,20,320,12004,Sueldos del Grupo C2.,33514.32,,33514.32,29869.45
,,20,320,12005,Sueldos del Grupo E.,245714.56,-19000.0,226714.56,225767.92
,,20,320,12006,Trienios.,50712.64,,50712.64,39057.49
,,20,320,12100,Complemento de destino.,219348.5,-38000.0,181348.5,180525.28
,,20,320,12101,Complemento específico.,410271.96,,410271.96,416181.66
,,20,320,13000,Retribuciones básicas.,9752.96,,9752.96,7895.25
,,20,320,13002,Otras remuneraciones.,12723.9,,12723.9,13040.84
,,20,320,16000,Seguridad Social.,319465.19,,319465.19,310267.77
,,20,330,12000,Sueldos del Grupo A1.,44031.96,,44031.96,14098.36
,,20,330,12001,Sueldos del Grupo A2.,25813.04,,25813.04,17366.69
,,20,330,12003,Sueldos del Grupo C1.,39539.36,,39539.36,11605.4
,,20,330,12004,Sueldos del Grupo C2.,41892.9,,41892.9,15819.94
,,20,330,12005,Sueldos del Grupo E.,116458.46,-55000.0,61458.46,59841.28
,,20,330,12006,Trienios.,52900.73,-32000.0,20900.73,20757.15
,,20,330,12100,Complemento de destino.,145537.2,-90000.0,55537.2,55176.26
,,20,330,12101,Complemento específico.,265446.76,-86000.0,179446.76,148684.62
,,20,330,13000,Retribuciones básicas.,21727.46,,21727.46,11777.74
,,20,330,13002,Otras remuneraciones.,33321.26,,33321.26,23927.58
,,20,330,16000,Seguridad Social.,217880.9,-106004.37,111876.53,111340.47
,,20,331,12000,Sueldos del Grupo A1.,117418.56,,117418.56,99399.02
,,20,331,12001,Sueldos del Grupo A2.,103252.16,,103252.16,87939.5
,,20,331,12003,Sueldos del Grupo C1.,79078.72,,79078.72,74376.29
,,20,331,12004,Sueldos del Grupo C2.,95664.38,,95664.38,85841.09
,,20,331,12005,Sueldos del Grupo E.,38392.9,,38392.9,27867.69
,,20,331,12006,Trienios.,73004.15,,73004.15,60416.64
,,20,331,12100,Complemento de destino.,248365.32,-56000.0,192365.32,190726.65
,,20,331,12101,Complemento específico.,571345.46,,571345.46,537766.03
,,20,331,13000,Retribuciones básicas.,9129.36,,9129.36,7835.4
,,20,331,13002,Otras remuneraciones.,16545.06,,16545.06,16010.25
,,20,331,16000,Seguridad Social.,368644.31,-35000.0,333644.31,333497.22
,,20,332,12000,Sueldos del Grupo A1.,14677.32,,14677.32,14124.53
,,20,332,12001,Sueldos del Grupo A2.,167784.76,,167784.76,149049.58
,,20,332,12003,Sueldos del Grupo C1.,138387.76,,138387.76,123402.13
,,20,332,12004,Sueldos del Grupo C2.,83785.8,,83785.8,70727.45
,,20,332,12006,Trienios.,58042.54,,58042.54,47558.78
,,20,332,12100,Complemento de destino.,215309.92,,215309.92,171710.8
,,20,332,12101,Complemento específico.,403942.24,,403942.24,398070.69
,,20,332,16000,Seguridad Social.,297000.24,-14000.0,283000.24,282978.0
,,20,335,12001,Sueldos del Grupo A2.,503354.28,,503354.28,503091.61
,,20,335,12005,Sueldos del Grupo E.,7678.58,,7678.58,5857.07
,,20,335,12006,Trienios.,75051.09,,75051.09,72916.15
,,20,335,12100,Complemento de destino.,232755.74,-23000.0,209755.74,208948.73
,,20,335,12101,Complemento específico.,355089.14,,355089.14,371994.64
,,20,335,13000,Retribuciones básicas.,78833.03,-51000.0,27833.03,27807.04
,,20,335,13002,Otras remuneraciones.,73871.0,,73871.0,33643.76
,,20,335,16000,Seguridad Social.,428955.82,-33000.0,395955.82,395009.72
,,20,336,12000,Sueldos del Grupo A1.,16448.12,,16448.12,2859.16
,,20,336,12001,Sueldos del Grupo A2.,25813.04,,25813.04,22954.45
,,20,336,12004,Sueldos del Grupo C2.,8378.58,,8378.58,6042.49
,,20,336,12005,Sueldos del Grupo E.,23035.74,,23035.74,21108.02
,,20,336,12006,Trienios.,12516.25,,12516.25,5468.34
,,20,336,12100,Complemento de destino.,37670.64,,37670.64,24172.49
,,20,336,12101,Complemento específico.,70162.82,,70162.82,95840.72
,,20,336,16000,Seguridad Social.,52025.05,,52025.05,52015.56
,,20,340,12000,Sueldos del Grupo A1.,29354.64,,29354.64,32073.08
,,20,340,12001,Sueldos del Grupo A2.,12906.52,,12906.52,
,,20,340,12003,Sueldos del Grupo C1.,39539.36,,39539.36,34024.52
,,20,340,12004,Sueldos del Grupo C2.,58650.06,,58650.06,42372.46
,,20,340,12005,Sueldos del Grupo E.,23035.74,,23035.74,26806.05
,,20,340,12006,Trienios.,27378.47,,27378.47,26355.62
,,20,340,12100,Complemento de destino.,95887.54,-21000.0,74887.54,73888.36
,,20,340,12101,Complemento específico.,162938.3,,162938.3,146480.9
,,20,340,13000,Retribuciones básicas.,116215.24,-29000.0,87215.24,86466.57
,,20,340,13002,Otras remuneraciones.,154879.48,,154879.48,132123.55
,,20,340,16000,Seguridad Social.,205756.11,-28000.0,177756.11,177018.11
,,20,431,12004,Sueldos del Grupo C2.,16757.16,,16757.16,15334.83
,,20,431,12005,Sueldos del Grupo E.,69107.22,,69107.22,64521.21
,,20,431,12006,Trienios.,9958.42,,9958.42,8430.28
,,20,431,12100,Complemento de destino.,43196.02,,43196.02,36675.23
,,20,431,12101,Complemento específico.,72213.96,,72213.96,69650.71
,,20,431,13000,Retribuciones básicas.,32163.41,,32163.41,27578.55
,,20,431,13002,Otras remuneraciones.,40702.48,,40702.48,40087.59
,,20,431,16000,Seguridad Social.,88333.97,,88333.97,86917.07
,,20,440,12000,Sueldos del Grupo A1.,58709.28,,58709.28,39451.72
,,20,440,12001,Sueldos del Grupo A2.,12906.52,,12906.52,24636.47
,,20,440,12003,Sueldos del Grupo C1.,19769.68,,19769.68,18580.75
,,20,440,12004,Sueldos del Grupo C2.,108921.54,,108921.54,83498.76
,,20,440,12005,Sueldos del Grupo E.,122857.28,,122857.28,93807.39
,,20,440,12006,Trienios.,48923.14,,48923.14,38784.09
,,20,440,12100,Complemento de destino.,185626.42,,185626.42,132940.34
,,20,440,12101,Complemento específico.,325700.2,,325700.2,278182.87
,,20,440,13000,Retribuciones básicas.,20637.68,,20637.68,17700.84
,,20,440,13002,Otras remuneraciones.,23317.84,,23317.84,23120.7
,,20,440,16000,Seguridad Social.,277935.3,,277935.3,243524.59
,,20,450,12000,Sueldos del Grupo A1.,102741.24,,102741.24,146988.33
,,20,450,12001,Sueldos del Grupo A2.,154878.24,,154878.24,156552.93
,,20,450,12003,Sueldos del Grupo C1.,148272.6,,148272.6,142259.95
,,20,450,12004,Sueldos del Grupo C2.,351900.36,,351900.36,331057.28
,,20,450,12005,Sueldos del Grupo E.,69107.22,,69107.22,57201.16
,,20,450,12006,Trienios.,170459.49,,170459.49,137774.87
,,20,450,12100,Complemento de destino.,462324.8,,462324.8,408560.94
,,20,450,12101,Complemento específico.,754412.82,,754412.82,856288.56
,,20,450,13000,Retribuciones básicas.,51840.17,,51840.17,7103.09
,,20,450,13002,Otras remuneraciones.,50603.84,,50603.84,10506.3
,,20,450,16000,Seguridad Social.,729649.55,,729649.55,742894.98
,,20,491,22706,Estudios y trabajos técnicos.,7000.0,,7000.0,50583.8
,,20,491,22746,CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,122156.41,,122156.41,99776.3
,,20,491,2274611,REM./11 CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,,4426.15,4426.15,4426.15
,,20,491,22799,Otros trabajos realizados por otras empresas y profes.,102000.0,5995.0,107995.0,16196.79
,,20,491,2279911,REM./11 OTROS TRABAJOS REALIZADOS POR OTRAS EMP. Y PROF.,,30117.0,30117.0,30117.0
,,20,491,4620010,REM./10 TRANSFERENCIAS CORRIENTES AYUNTAMIENTOS,,1937.4,1937.4,
,,20,491,64100,ADQUISICIÓN DE SOFTWARE,165317.73,111491.38,276809.11,247490.47
,,20,491,6410011,REM./11 ADQUISICIÓN DE SOFTWARE,,30911.0,30911.0,30911.0
,,20,491,64102,EQUIPOS Y DESARROLLOS EN WEB,250000.0,-43000.0,207000.0,113524.97
,,20,491,6410208,REM./08 EQUIPOS Y DESARROLLOS EN WEB,,11275.99,11275.99,2907.99
,,20,491,6410209,REM./09 EQUIPSO Y DESARROLLOS EN LA WEB,,94551.6,94551.6,24559.15
,,20,491,6410210,REM./10 EQUIPOS Y DESARROLLOS EN LA WEB,,229770.2,229770.2,78891.16
,,20,491,6410211,REM./11 EQUIPOS Y DESARROLLOS EN WEB,,104000.0,104000.0,43118.25
,,20,493,12000,Sueldos del Grupo A1.,14677.32,,14677.32,14019.27
,,20,493,12004,Sueldos del Grupo C2.,16757.16,,16757.16,12794.21
,,20,493,12006,Trienios.,6418.92,,6418.92,4141.95
,,20,493,12100,Complemento de destino.,15678.04,,15678.04,11821.77
,,20,493,12101,Complemento específico.,20616.4,,20616.4,22782.98
,,20,493,16000,Seguridad Social.,24418.68,,24418.68,22230.39
,,20,912,10100,Retribuciones básicas.,164732.36,,164732.36,164136.03
,,20,912,10101,Otras remuneraciones.,429408.14,-35784.56,393623.58,410215.14
,,20,912,11000,Retribuciones básicas.,579981.16,,579981.16,507192.14
,,20,912,11001,Retribuciones complementarias.,168605.64,,168605.64,130893.42
,,20,912,12000,Sueldos del Grupo A1.,44031.96,,44031.96,43914.63
,,20,912,12001,Sueldos del Grupo A2.,12906.52,,12906.52,24566.38
,,20,912,12003,Sueldos del Grupo C1.,49424.2,,49424.2,43711.56
,,20,912,12004,Sueldos del Grupo C2.,293250.3,,293250.3,267625.2
,,20,912,12006,Trienios.,79519.51,,79519.51,69896.06
,,20,912,12100,Complemento de destino.,260171.66,,260171.66,222989.68
,,20,912,12101,Complemento específico.,599806.76,,599806.76,601209.97
,,20,912,16000,Seguridad Social.,678582.76,,678582.76,667656.22
,,20,912,23010,Del personal directivo.,15217.26,-9000.0,6217.26,3015.17
,,20,912,23110,Del personal directivo.,13906.62,,13906.62,5686.02
,,20,920,12000,Sueldos del Grupo A1.,245453.39,,245453.39,230500.0
,,20,920,12001,Sueldos del Grupo A2.,92636.59,,92636.59,75098.69
,,20,920,12003,Sueldos del Grupo C1.,128502.92,,128502.92,128648.72
,,20,920,12004,Sueldos del Grupo C2.,485373.45,-30921.45,454452.0,382405.26
,,20,920,12005,Sueldos del Grupo E.,351356.97,,351356.97,309836.69
,,20,920,12006,Trienios.,207444.21,,207444.21,192471.59
,,20,920,12100,Complemento de destino.,752762.24,-153000.0,599762.24,599261.38
,,20,920,12101,Complemento específico.,1183488.28,,1183488.28,1209106.6
,,20,920,13000,Retribuciones básicas.,21135.18,,21135.18,11922.92
,,20,920,13002,Otras remuneraciones.,20054.16,,20054.16,22478.14
,,20,920,13101,RETRIB. PERSONAL FOMENTO EMPLEO (TEMPOR. Y DISCONTINUOS),5659.74,176589.68,182249.42,172163.54
,,20,920,15000,PRODUCTIVIDAD,1729553.09,,1729553.09,1738386.15
,,20,920,15102,GRATIFICACIONES PERS. FUNCIONARIO,100000.0,,100000.0,55404.21
,,20,920,16000,Seguridad Social.,1022059.73,58229.27,1080289.0,1032975.4
,,20,920,16200,Formación y perfeccionamiento del personal.,60000.0,23036.0,83036.0,84684.4
,,20,920,16202,Transporte de personal.,28022.52,,28022.52,31672.47
,,20,920,16203,QUEBRANTO DE MONEDA,25380.0,,25380.0,25517.0
,,20,920,20200,ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTR.,71050.06,32000.0,103050.06,102406.32
,,20,920,2020011,REM./11 ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTR.,,1860.29,1860.29,1860.29
,,20,920,21300,"REPARAC. MANTEN, Y CONS.  MAQUIN.,INST. Y UTILLAJE.",5835.3,19039.18,24874.48,17707.5
,,20,920,2130011,"REM./11 REPARAC. MANTEN, Y CONS.  MAQUIN.,INST. Y UTILLAJE.",,1849.62,1849.62,1843.87
,,20,920,21500,"REP.,MANT. Y CONSERV. MOBILIARIO Y ENSERES",4140.0,,4140.0,3802.06
,,20,920,22000,Ordinario no inventariable.,250000.0,-31715.61,218284.39,203321.49
,,20,920,2200011,REM./11 ORDINARIO NO INVENTARIABLE,,22032.52,22032.52,21739.19
,,20,920,22001,"Prensa, revistas, libros y otras publicaciones.",41400.0,17000.0,58400.0,57045.84
,,20,920,22100,Energía eléctrica.,2040481.49,3235903.65,5276385.14,4777529.95
,,20,920,2210011,REM./11 ENERGIA ELECTRICA,,249300.65,249300.65,249300.65
,,20,920,22102,Gas.,,,,421.69
,,20,920,22104,Vestuario.,10000.0,,10000.0,3145.55
,,20,920,22110,Productos de limpieza y aseo.,4140.0,,4140.0,2805.09
,,20,920,22115,OTROS MATERIAL DE REPROGRAFÍA,,,,15667.16
,,20,920,2211511,REM./11 OTROS MATERIAL DE REPROGRAFÍA,,23272.42,23272.42,23265.69
,,20,920,22199,Otros suministros.,8280.0,50000.0,58280.0,8731.4
,,20,920,22200,Servicios de Telecomunicaciones.,300000.0,260065.35,560065.35,453820.74
,,20,920,2220011,REM./11 SERVICIOS DE TELECOMUNICACIONES,,38571.67,38571.67,741.36
,,20,920,22201,Postales.,300000.0,-95000.0,205000.0,243004.42
,,20,920,22293,RECONOCIMIENTO DE CREDITO,,24732.99,24732.99,24732.99
,,20,920,22400,PRIMAS DE SEGUROS,70000.0,,70000.0,66151.0
,,20,920,22401,SEGURO DE RESPONSABILIDAD CIVIL,182390.0,,182390.0,183140.0
,,20,920,2260211,REM./11 PUBLICIDAD Y PROPAGANDA,,2990.12,2990.12,
,,20,920,22603,Publicación en Diarios Oficiales.,60000.0,-2752.49,57247.51,39296.94
,,20,920,22604,"Jurídicos, contenciosos.",41400.0,-24000.0,17400.0,13951.11
,,20,920,22606,"Reuniones, conferencias y cursos.",414.0,,414.0,
,,20,920,22607,Oposiciones y pruebas selectivas,20000.0,24600.0,44600.0,43992.53
,,20,920,22611,GASTOS MENORES DE CONSERJERÍA,16000.0,,16000.0,9555.23
,,20,920,22614,INDEMNIZACIONES VARIAS,100000.0,26400.0,126400.0,138670.27
,,20,920,22699,Otros gastos diversos,15000.0,4000.0,19000.0,26859.02
,,20,920,22706,Estudios y trabajos técnicos.,30000.0,-20000.0,10000.0,10641.98
,,20,920,2270611,REM./11 ESTUDIOS Y TRABAJOS TECNICOS,,,,
,,20,920,22719,EDICIONES,1000.0,,1000.0,8630.87
,,20,920,22793,RECONOCIMIENTO DE CREDITO,,1947.77,1947.77,1947.77
,,20,920,22799,Otros trabajos realizados por otras empresas y profes.,168308.86,-775.9,167532.96,149040.73
,,20,920,2279911,REM./11 OTROS TRABAJOS REALIZADOS POR OTRAS EMP. Y PROF.,,5510.01,5510.01,5510.01
,,20,920,23020,Del personal no directivo.,122645.29,-15600.0,107045.29,83562.44
,,20,920,23120,Del personal no directivo.,18555.6,,18555.6,19878.21
,,20,920,48107,AYUDAS PARA GASTOS DE ESTUDIANTES EN PRACTICAS,8000.0,,8000.0,3200.0
,,20,920,48903,APORTACION GASTOS SINDICALES,2637.59,,2637.59,2637.59
,,20,920,62300,"INV.NUEVA MAQUINARIA, INSTALACIONES Y UTILLAJE",232351.99,-150000.0,82351.99,48831.08
,,20,920,6240011,REM./11 INV.NUEVA MATERIAL DE TRANSPORTE,,,,
,,20,920,62500,INV.NUEVA MOBILIARIO Y ENSERES,10000.0,,10000.0,7858.83
,,20,920,62700,PROYECTOS COMPLEJOS,606316.05,-606316.05,,
,,20,920,6270009,REM./09 PROYECTOS COMPLEJOS,,,,
,,20,920,6270010,REM./10 PROYECTOS COMPLEJOS,,,,
,,20,920,83003,ANTICIP.PAGAS AL PERSONAL,30000.0,453186.04,483186.04,476923.39
,,20,921,12000,Sueldos del Grupo A1.,29354.64,,29354.64,23106.37
,,20,921,12001,Sueldos del Grupo A2.,77439.12,,77439.12,61490.42
