#",,,",Alias,Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,,20,332,16000,Seguridad Social.,311651.17,,,305819.13
,,20,335,12001,Sueldos del Grupo A2.,582564.2,,,575228.34
,,20,335,12006,Trienios.,96277.68,,,86128.29
,,20,335,12100,Complemento de destino.,266483.14,,,219722.25
,,20,335,12101,Complemento específico.,412694.24,,,435609.2
,,20,335,16000,Seguridad Social.,424954.51,,,389707.63
,,20,336,12000,Sueldos del Grupo A1.,14677.32,,,9652.61
,,20,336,12001,Sueldos del Grupo A2.,25813.04,,,12906.52
,,20,336,12004,Sueldos del Grupo C2.,8378.58,,,4923.88
,,20,336,12005,Sueldos del Grupo E.,23035.74,,,23132.91
,,20,336,12006,Trienios.,13557.25,,,4858.85
,,20,336,12100,Complemento de destino.,37670.64,,,20803.62
,,20,336,12101,Complemento específico.,70162.82,,,72793.94
,,20,336,16000,Seguridad Social.,52667.82,,,42932.87
,,20,340,12000,Sueldos del Grupo A1.,29354.64,,,88750.76
,,20,340,12003,Sueldos del Grupo C1.,39539.36,,,39311.24
,,20,340,12004,Sueldos del Grupo C2.,41892.9,,,33864.11
,,20,340,12005,Sueldos del Grupo E.,30714.32,,,27611.61
,,20,340,12006,Trienios.,30830.47,,,41736.65
,,20,340,12100,Complemento de destino.,85108.8,,,94307.13
,,20,340,12101,Complemento específico.,142854.6,,,240631.77
,,20,340,13000,Retribuciones básicas.,108744.97,,,22309.89
,,20,340,13002,Otras remuneraciones.,143018.82,,,26199.47
,,20,340,16000,Seguridad Social.,184199.75,,,163391.62
,,20,431,12004,Sueldos del Grupo C2.,16757.16,,,8770.02
,,20,431,12005,Sueldos del Grupo E.,69107.22,,,69901.95
,,20,431,12006,Trienios.,10823.35,,,7007.68
,,20,431,12100,Complemento de destino.,43196.02,,,32826.0
,,20,431,12101,Complemento específico.,72213.96,,,70817.4
,,20,431,13000,Retribuciones básicas.,32648.33,,,27982.65
,,20,431,13002,Otras remuneraciones.,40702.48,,,45368.16
,,20,431,16000,Seguridad Social.,89849.11,,,82010.2
,,20,440,12000,Sueldos del Grupo A1.,44031.96,,,29074.97
,,20,440,12001,Sueldos del Grupo A2.,12906.52,,,19363.05
,,20,440,12003,Sueldos del Grupo C1.,19769.68,,,18966.46
,,20,440,12004,Sueldos del Grupo C2.,85185.8,,,87012.07
,,20,440,12005,Sueldos del Grupo E.,99821.54,,,89543.81
,,20,440,12006,Trienios.,46982.28,,,36037.24
,,20,440,12100,Complemento de destino.,150231.9,,,113894.11
,,20,440,12101,Complemento específico.,251910.12,,,315600.94
,,20,440,13000,Retribuciones básicas.,20803.22,,,7997.22
,,20,440,13002,Otras remuneraciones.,23317.84,,,14673.69
,,20,440,16000,Seguridad Social.,235239.35,,,225581.09
,,20,450,12000,Sueldos del Grupo A1.,117418.56,,,108923.26
,,20,450,12001,Sueldos del Grupo A2.,154878.24,,,170425.24
,,20,450,12003,Sueldos del Grupo C1.,128502.92,,,127802.55
,,20,450,12004,Sueldos del Grupo C2.,351900.36,,,323297.7
,,20,450,12005,Sueldos del Grupo E.,53750.06,,,51364.56
,,20,450,12006,Trienios.,173212.26,,,126127.12
,,20,450,12100,Complemento de destino.,447353.34,,,412397.83
,,20,450,12101,Complemento específico.,741318.0,,,777472.92
,,20,450,16000,Seguridad Social.,671027.02,,,626527.96
,,20,491,22706,Estudios y trabajos técnicos.,216000.0,-56000.0,,85480.15
,,20,491,22746,CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,164775.08,,,165490.12
,,20,491,2274612,REM./12 CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,,40502.08,,39477.72
,,20,491,22799,Otros trabajos realizados por otras empresas y profes.,,56000.0,,
,,20,491,6410012,REM./12 ADQUISICIÓN DE SOFTWARE,,26317.73,,26317.73
,,20,491,64102,EQUIPOS Y DESARROLLOS EN WEB,322340.0,-160000.0,,5293.75
,,20,491,6410208,REM./08 EQUIPOS Y DESARROLLOS EN WEB,,8368.0,,8368.0
,,20,491,6410209,REM./09 EQUIPSO Y DESARROLLOS EN LA WEB,,69992.45,,69992.45
,,20,491,6410210,REM./10 EQUIPOS Y DESARROLLOS EN LA WEB,,150879.04,,149936.98
,,20,491,6410211,REM./11 EQUIPOS Y DESARROLLOS EN WEB,,58976.0,,39226.0
,,20,491,6410212,REM./12 EQUIPOS Y DESARROLLOS EN WEB,,92730.76,,70960.44
,,20,491,74001,TRANSFERENCIAS DE CAPITAL A EMALCSA,700000.0,,,
,,20,493,12000,Sueldos del Grupo A1.,14677.32,,,14729.94
,,20,493,12004,Sueldos del Grupo C2.,8378.58,,,8701.17
,,20,493,12006,Trienios.,2771.91,,,2396.7
,,20,493,12100,Complemento de destino.,11407.9,,,9778.2
,,20,493,12101,Complemento específico.,15768.62,,,17398.32
,,20,493,16000,Seguridad Social.,16865.73,,,16316.33
,,20,912,10100,Retribuciones básicas.,184637.35,,,172495.41
,,20,912,10101,Otras remuneraciones.,472235.82,,,453992.73
,,20,912,11000,Retribuciones básicas.,584437.5,,,613229.46
,,20,912,11001,Retribuciones complementarias.,171358.04,,,144545.03
,,20,912,12000,Sueldos del Grupo A1.,44031.96,,,47413.22
,,20,912,12001,Sueldos del Grupo A2.,25813.04,,,19587.93
,,20,912,12003,Sueldos del Grupo C1.,39539.36,,,52955.67
,,20,912,12004,Sueldos del Grupo C2.,301628.88,,,257877.62
,,20,912,12006,Trienios.,86462.38,,,66526.36
,,20,912,12100,Complemento de destino.,266680.68,,,207446.4
,,20,912,12101,Complemento específico.,571074.66,,,588887.06
,,20,912,16000,Seguridad Social.,713323.71,,,677753.69
,,20,912,23010,Del personal directivo.,15217.26,,,5188.62
,,20,912,23110,Del personal directivo.,13906.62,,,8251.16
,,20,920,12000,Sueldos del Grupo A1.,289990.19,-30000.0,,231922.99
,,20,920,12001,Sueldos del Grupo A2.,150741.81,-30000.0,,72007.48
,,20,920,12003,Sueldos del Grupo C1.,151285.12,-10000.0,,122884.73
,,20,920,12004,Sueldos del Grupo C2.,431612.91,-30000.0,,392852.83
,,20,920,12005,Sueldos del Grupo E.,381874.63,-40000.0,,350775.9
,,20,920,12006,Trienios.,244556.89,-20000.0,,188179.59
,,20,920,12100,Complemento de destino.,813014.7,-40000.0,,571555.79
,,20,920,12101,Complemento específico.,1502413.21,-100000.0,,1286216.74
,,20,920,13000,Retribuciones básicas.,9833.78,,,
,,20,920,13002,Otras remuneraciones.,9811.9,,,18454.05
,,20,920,13101,RETRIB. PERSONAL FOMENTO EMPLEO (TEMPOR. Y DISCONTINUOS),16731.98,58843.34,,65069.38
,,20,920,15000,PRODUCTIVIDAD,1746372.67,,,1750372.03
,,20,920,15102,GRATIFICACIONES PERS. FUNCIONARIO,100000.0,,,72960.01
,,20,920,16000,Seguridad Social.,1109591.56,-79799.79,,949689.34
,,20,920,16200,Formación y perfeccionamiento del personal.,60000.0,24256.64,,88748.19
,,20,920,16202,Transporte de personal.,29200.0,,,25397.27
,,20,920,16203,QUEBRANTO DE MONEDA,25200.0,,,23730.0
,,20,920,20200,ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTR.,116541.45,60000.0,,165576.44
,,20,920,2020012,REM./12 ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTR.,,540.33,,540.33
,,20,920,21300,"REPARAC. MANTEN, Y CONS.  MAQUIN.,INST. Y UTILLAJE.",20000.0,,,18265.33
,,20,920,2130012,"REM./12 REPARAC. MANTEN, Y CONS.  MAQUIN.,INST. Y UTILLAJE.",,7387.86,,7387.86
,,20,920,21500,"REP.,MANT. Y CONSERV. MOBILIARIO Y ENSERES",3726.0,,,5360.59
,,20,920,22000,Ordinario no inventariable.,198900.0,,,172542.16
,,20,920,22001,"Prensa, revistas, libros y otras publicaciones.",41400.0,,,55650.98
,,20,920,22100,Energía eléctrica.,2970000.0,,,2920066.79
,,20,920,22102,Gas.,,,,341.16
,,20,920,22104,Vestuario.,4000.0,,,6206.52
,,20,920,22110,Productos de limpieza y aseo.,2500.0,,,1432.78
,,20,920,22115,OTROS MATERIAL DE REPROGRAFÍA,,,,14962.21
,,20,920,22191,RECONOCIMIENTO DE CREDITO,,209652.49,,209652.49
,,20,920,22199,Otros suministros.,7450.0,,,15050.78
,,20,920,22200,Servicios de Telecomunicaciones.,390082.67,,,269302.7
,,20,920,2220012,REM./12 SERVICIOS DE TELECOMUNICACIONES,,63818.12,,55848.24
,,20,920,22201,Postales.,250000.0,93704.49,,316306.03
,,20,920,22400,PRIMAS DE SEGUROS,69000.0,,,62301.02
,,20,920,22401,SEGURO DE RESPONSABILIDAD CIVIL,182390.0,,,182390.0
,,20,920,22602,Publicidad y propaganda.,,,,
,,20,920,22603,Publicación en Diarios Oficiales.,50000.0,6651.03,,33074.02
,,20,920,22604,"Jurídicos, contenciosos.",39360.0,,,47278.68
,,20,920,22607,Oposiciones y pruebas selectivas,20000.0,,,7205.6
,,20,920,22611,GASTOS MENORES DE CONSERJERÍA,14400.0,,,4261.3
,,20,920,22614,INDEMNIZACIONES VARIAS,105113.4,85000.0,,206506.98
,,20,920,22691,RECONOCIMIENTO DE CREDITO,,30481.7,,30481.7
,,20,920,22699,Otros gastos diversos,13500.0,20000.0,,46157.03
,,20,920,22706,Estudios y trabajos técnicos.,34000.0,-25000.0,,2064.86
,,20,920,2270612,REM./12 ESTUDIOS Y TRABAJOS TECNICOS,,1694.0,,1524.6
,,20,920,22719,EDICIONES,900.0,,,3521.1
,,20,920,22799,Otros trabajos realizados por otras empresas y profes.,171234.56,-45000.0,,94735.2
,,20,920,2279912,REM./12 OTROS TBJOS REALIZ POR OTRAS EMP Y PROFESIONALES,,1448.25,,1448.25
,,20,920,23020,Del personal no directivo.,52483.32,8915.0,,17770.01
,,20,920,23120,Del personal no directivo.,20055.6,7200.0,,19835.33
,,20,920,48107,AYUDAS PARA GASTOS DE ESTUDIANTES EN PRACTICAS,8000.0,,,
,,20,920,48903,APORTACION GASTOS SINDICALES,2637.59,,,2260.59
,,20,920,62300,"INV.NUEVA MAQUINARIA, INSTALACIONES Y UTILLAJE",215000.0,-50750.76,,117278.95
,,20,920,6230012,"REM./12 INV.NUEVA MAQUINARIA, INSTALACIONES Y UTILLAJE",,22805.0,,21476.97
,,20,920,62500,INV.NUEVA MOBILIARIO Y ENSERES,3500.0,21750.76,,25250.76
,,20,920,6250012,REM./12 INV.NUEVA MOBILIARIO Y ENSERES,,2000.0,,2000.0
,,20,920,64000,GASTOS EN INVERSIONES DE CARACTER INMATERIAL,32000.0,,,5974.57
,,20,920,83003,ANTICIP.PAGAS AL PERSONAL,30000.0,387277.31,,417057.97
,,20,921,12000,Sueldos del Grupo A1.,29354.64,,,22790.97
,,20,921,12001,Sueldos del Grupo A2.,64532.6,,,67168.37
,,20,921,12003,Sueldos del Grupo C1.,59309.04,,,55161.63
,,20,921,12006,Trienios.,23407.21,,,18644.14
,,20,921,12100,Complemento de destino.,96103.84,,,75668.17
,,20,921,12101,Complemento específico.,171089.66,,,177780.24
,,20,921,16000,Seguridad Social.,111852.48,,,106976.87
,,20,921,22000,Ordinario no inventariable.,1000.0,,,1144.3
,,20,921,22001,"Prensa, revistas, libros y otras publicaciones.",200.0,,,
,,20,921,22199,Otros suministros.,100.0,,,155.19
,,20,921,22699,Otros gastos diversos,300.0,,,
,,20,922,22602,Publicidad y propaganda.,450000.0,,,443638.72
,,20,922,2260212,REM./12 PUBLICIDAD Y PROPAGANDA,,21755.51,,19689.27
,,20,922,22603,Publicación en Diarios Oficiales.,50000.0,-35000.0,,
,,20,922,22691,RECONOCIMIENTO DE CREDITO,,5374.9,,5374.9
,,20,922,22746,CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,247445.4,-70000.0,,102602.93
,,20,922,2274612,REM./12 CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,,23491.5,,11694.38
,,20,923,22746,CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,179159.74,-70000.0,,9963.13
,,20,923,2274612,REM./12 CONTRATOS ASISTENCIA EN PLANIFICACIÓN Y CONTROL,,15215.75,,15215.75
,,20,924,12001,Sueldos del Grupo A2.,12906.52,,,12957.22
,,20,924,12006,Trienios.,467.94,,,417.24
,,20,924,12100,Complemento de destino.,6155.8,,,5276.4
,,20,924,12101,Complemento específico.,8322.16,,,9201.56
,,20,924,16000,Seguridad Social.,9994.8,,,9239.55
,,20,924,22613,GASTOS ELECTORALES,90.0,-90.0,,
,,20,925,12000,Sueldos del Grupo A1.,14677.32,,,14978.06
,,20,925,12003,Sueldos del Grupo C1.,19769.68,,,19333.37
,,20,925,12004,Sueldos del Grupo C2.,33514.32,,,23814.77
,,20,925,12006,Trienios.,6424.41,,,4635.24
,,20,925,12100,Complemento de destino.,38140.9,,,27839.9
,,20,925,12101,Complemento específico.,51781.94,,,53507.65
,,20,925,16000,Seguridad Social.,51229.26,,,45067.61
,,20,925,21300,"REPARAC. MANTEN, Y CONS.  MAQUIN.,INST. Y UTILLAJE.",1000.0,,,1000.0
,,20,925,22750,SERVICIOS DE ATENCION TELEFÓNICA,547220.98,,,491726.25
,,20,925,2275012,REM./12 SERVICIOS DE ATENCION TELEFÓNICA,,24306.13,,16971.68
,,20,925,22799,Otros trabajos realizados por otras empresas y profes.,8386.38,7300.0,,8386.38
,,20,925,62500,INV.NUEVA MOBILIARIO Y ENSERES,3000.0,,,
,,20,926,12000,Sueldos del Grupo A1.,58709.28,,,59718.2
,,20,926,12001,Sueldos del Grupo A2.,25813.04,,,17335.82
,,20,926,12003,Sueldos del Grupo C1.,118618.08,,,119214.2
,,20,926,12004,Sueldos del Grupo C2.,16757.16,,,17324.52
,,20,926,12006,Trienios.,49821.71,,,38645.93
,,20,926,12100,Complemento de destino.,138086.76,,,111758.19
,,20,926,12101,Complemento específico.,197315.72,,,199854.12
,,20,926,13000,Retribuciones básicas.,19192.68,,,17403.0
,,20,926,13002,Otras remuneraciones.,42207.9,,,43997.58
,,20,926,16000,Seguridad Social.,181661.03,,,169167.75
,,20,926,20600,ARRENDAMIENTO DE EQUIPOS PARA PROCESOS DE INFORMACION,150000.0,-55833.34,,25111.43
,,20,926,2060012,REM./12 ARRENDAM.DE EQUIPOS PROCESOS DE INFORMACION,,6250.0,,
,,20,926,21300,"REPARAC. MANTEN, Y CONS.  MAQUIN.,INST. Y UTILLAJE.",500.0,,,
,,20,926,21600,REPARA. MANTEN. EQUIPOS PROCESOS INFORM.,3000.0,,,203.99
,,20,926,22000,Ordinario no inventariable.,300.0,,,18.15
,,20,926,22001,"Prensa, revistas, libros y otras publicaciones.",200.0,,,
,,20,926,22002,Material informático no inventariable.,20000.0,55833.34,,90978.38
,,20,926,22199,Otros suministros.,5000.0,,,4891.08
,,20,926,22203,Informáticas.,48932.33,,,17544.5
,,20,926,2220312,REM./12 INFORMATICAS,,24572.38,,24572.38
,,20,926,22606,"Reuniones, conferencias y cursos.",,6000.0,,5082.0
,,20,926,22691,RECONOCIMIENTO DE CREDITO,,117.79,,117.79
,,20,926,22699,Otros gastos diversos,1600.0,,,1265.2
,,20,926,22706,Estudios y trabajos técnicos.,349360.0,-44000.0,,86947.93
,,20,926,2270612,REM./12 ESTUDIOS Y TRABAJOS TECNICOS,,17847.5,,17847.5
