#,Alias,Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
,,33600,OCUP. DE VIA PUBLICA CON SUSPENSION  DEL TRAFICO RODADO,550000,0,550000,365000.93
,,33700,APROVECHAMIENTO VUELO TERRENOS USO PUBLICO LOCAL,2700,0,2700,26.79
,,33800,COMPENSACION TELEFONICA DE ESPAÑA S.A.,686598,0,686598,578261.64
,,33901,"OCUP.TERR.USO PUB. MERCANCIAS,ESCOMBROS,VALLAS,ANDAMIOS...",750000,0,750000,1361059.4
,,33902,OCUPACION TERRENOS USO PUBLICO CON KIOSCOS,50500,0,50500,25241.46
,,33903,OCUPACION TERRENOS USO PUBLICO CON PUESTOS Y BARRACAS,21733,0,21733,4389.72
,,33904,OCUPACION TERRENOS USO PUB. DEPOSITOS Y APARATOS DISTRIBUC.,18000,0,18000,15981.82
,,33905,APROVECHAMIENTO SUBSUELO DE TERRENOS DE USO PUBLICO LOCAL,500,0,500,0
,,34401,"SERVICIOS PRESTADOS EN INSTALAC. CULTURALES, EDUCATIVAS...",250000,0,250000,96941.69
,,34901,PRESTACION SERVICIOS DEL CENTRO DE PROCESO DE DATOS,3862.5,0,3862.5,3196.01
,,34902,UTILIZACION BIENES PROPIEDAD MUNICIPAL,200,0,200,4156.82
,,34904,PRESTACION SERVICIOS EN EL CENTRO MUNICIPAL DE EMPRESAS,20500,0,20500,21529.91
,,35100,C.E.PARA ESTABLEC.O AMPLIAC.DE SERVICIOS,953000,0,953000,1008931.79
,,36001,"VENTA ENVASES LIGEROS, PAPEL Y OTROS RESIDUOS",1500000,0,1500000,1414110.29
,,36002,VENTAS ENERGÍA,500000,0,500000,89318.62
,,36100,VENTA DE PUBLICACIONES,28922.4,0,28922.4,35230.82
,,36200,VENTA DE OBJETOS CASA DE LAS CIENCIAS,1,0,1,0
,,36201,VENTA DE OBJETOS MUSEO ARQUEOLÓGICO,1,0,1,69888.44
,,38900,OTROS REINTEGROS DE OPERACIONES CORRIENTES,1,0,1,98556.08
,,39100,Multas por infracciones urbanísticas.,50000,0,50000,38530.91
,,39110,Multas por infracciones tributarias y análogas.,325000,0,325000,1061442.16
,,39120,Multas por infracciones de la Ordenanza de circulación.,1875000,0,1875000,2138891.79
,,39190,Otras multas y sanciones.,200000,0,200000,161299.97
,,39200,Recargo por declaración extemporánea sin requerimi. Previo,255000,0,255000,53902.98
,,39210,Recargo ejecutivo.,155000,0,155000,101434.26
,,39211,Recargo de apremio.,650000,0,650000,662383.07
,,39300,PRODUCTO DE LOS INTERESES DE DEMORA,275000,0,275000,367442.31
,,39610,Cuotas de urbanización.,5870340,2100000,7970340,7178656.87
,,39700,Canon por aprovechamientos urbanísticos.,1,0,1,0
,,39710,Otros ingresos por aprovechamientos urbanísticos.,1,0,1,0
,,39901,RECURSOS EVENTUALES,35000,18921.36,53921.36,513174.41
,,39902,INGRESOS DEL ESTADO POR EL CENSO ELECTORAL,2575,0,2575,2722.14
,,39903,ALCANCES,1,0,1,0
,,39904,INGRESOS POR PUBLICACIONES DE ANUNCIOS,1,6651.03,6652.03,25379.03
,,39905,INGRESOS POR ACCIONES SUBSIDIARIAS,1,35241.83,35242.83,125538.99
,,39907,DERECHOS DE EXAMEN,1,0,1,0
,,39908,PREMIO COBRANZA RECARGO PROVINCIAL IAE,99000,0,99000,77473.62
,,42010,Fondo Complementario de Financiación.,52618240.03,0,52618240.03,57346902.64
,,42020,Compensación por beneficios fiscales.,350000,0,350000,0
,,42090,Otras transf corrientes de la Admón General del Estado.,54928.16,433468.75,488396.91,314484.57
,,42091,OTRAS TRANSFERENCIAS: DEFICIT TRANSPORTE URBANO,1900000,0,1900000,1217253.08
,,42190,TRANSFERENCIAS CORRIENTES DE OTROS OOAA Y AGENCIAS,1,15228,15229,117806.32
,,42390,"De soci merc estat,entid públic empr y otros organ públicos",1,0,1,0
,,42392,DE EMP. PÚB. Y OTROS ENTES PÚB. SDAD.ESTATAL DE CONMEM. CULT,1,0,1,0
,,42393,DE E. PUB Y OT.ENTES PUB.DEL EDO: AUTORIDAD PORTUARIA CORUÑA,1,0,1,0
,,44100,DE EMPRESAS DE LA ENTIDAD LOCAL,1,20000,20001,20000
,,45000,Participación en tributos de la Comunidad Autónoma.,6558976.14,0,6558976.14,6506698.15
,,45002,Trans ctes en cumplimiento de conv Serv Soc y Polít de Igual,1917224.4,765407.06,2682631.46,3201283.54
,,45030,Trans ctes en cumpl de conv sus con C.A en mat de Educación,0,0,0,0
,,45050,Tran ctes en cumpl de conv sus con C.A en mat de Em y Desarr,61648.05,567644.16,629292.21,457535
,,45060,Otras trans ctes en cumplimiento de conv suscritos con C.A,1,28725,28726,87155.82
,,45100,DE OOAA DE LA COMUNIDAD AUTONOMA,1,18334.76,18335.76,105806.44
,,45101,DE LA UNIVERSIDAD DE LA CORUÑA,400000,0,400000,0
,,45300,DE EMP. PUB. Y OT. ENTES PUB. DE  CCAA.,1,18345.11,18346.11,0
,,45390,"DE S. MERCANTILES, EPE Y OTROS OOPB DEPENDIENTES DE LAS CCAA",1,0,1,0
,,46100,DE LA DIPUTACION PROVINCIAL DE LA CORUÑA,1,1187553.05,1187554.05,1460242.85
,,47000,TRANSFERENCIAS CORRIENTES DE EMPRESAS PRIVADAS,1,11500,11501,28211.86
,,48000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,1,58600,58601,6400
,,49000,DEL FONDO SOCIAL EUROPEO,375036.87,0,375036.87,781059.04
,,49100,DEL FONDO DE DESARROLLO REGIONAL,1,0,1,0
,,49200,DEL FONDO DE COHESION,1,0,1,0
,,49400,Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER).,1,0,1,0
,,49700,OTRAS TRANSFERENCIAS DE LA UNION EUROPEA,1,0,1,6300
,,49900,"Otras transf del exterior, excluyendo la Unión Europea.",0,126118,126118,101718
,,50400,"INT.SOC.MERCANTILES.EST.,ENT.PUB.EMPRESARIALES Y OT.ORG.PUB.",1,0,1,0
,,50700,INT.DE EMPRESAS PRIVADAS,1,0,1,28592.22
,,52000,INTERESES POR DEPOSITOS EN BANCOS Y CAJAS,1500000,0,1500000,341057.91
,,53401,PARTICIPACION EN BENEFICIOS EMALCSA,4250000,0,4250000,4250000
,,54100,INGR.DERIVADOS ALQUILER INMUEBLES URB.,500000,0,500000,640647.72
,,54910,INGRESOS CAMBIO ARRENDATARIO DE LOCALES,100,0,100,0
,,54920,INGR.DERIVADOS CESION LOCALES NEGOCIO,6000,0,6000,0
,,55001,POR CONCESIONES DE TRANSPORTES Y ESTACIONES DE SERVICIO,11500,0,11500,0
,,55002,POR OTRAS CONCESIONES ADMINISTRATIVAS,800000,0,800000,341205.09
,,55003,CANON CONCESION HOSPITAL LABACA,532662.83,0,532662.83,701178.94
,,55004,CANON CONCESION MATADERO,177981.07,0,177981.07,0
,,59900,OTROS INGRESOS PATRIMONIALES,1,0,1,95.49
,,60000,INGRESOS POR VENTAS SOLARES DEL PATRIMONIO MPAL. DEL SUELO,1,0,1,6990.64
,,60100,VENTA FINCAS RUSTICAS DEL PATRIMONIO MUNICIPAL,1,0,1,0
,,60200,ING.ENAJEN.PARCELAS SOBRANTES VIAS PUBL.,1,0,1,8382.16
,,61901,INGRESOS POR ENAJENACION DE VIVIENDAS Y LOCALES,1,0,1,0
,,72000,TRANSFERENCIAS DE CAPITAL DE LA ADMON.GENERAL DEL ESTADO,713384.34,746399.69,1459784.03,424303.39
,,72190,De otros Organismos Autónomos y agencias.,1,0,1,0
,,73001,TRANSFERENCIAS DE CAPITAL DEL IMSERSO,1,0,1,-8000
,,75002,Trans cap en cumplimiento de conv Serv Soc y Polít de Iguald,1,0,1,0
,,75060,Otras transf de capital en cump de conv suscritos con la C.A,1,0,1,406514.72
,,75100,DE OOAA DE LA COMUNIDAD AUTONOMA,621000,436542.82,1057542.82,1350601.5
,,76100,DE LA DIPUTACION PROVINCIAL,165684.64,298674.86,464359.5,238368.37
,,77000,TRANSFERENCIAS DE CAPITAL DE EMPRESAS PRIVADAS,1,4900000,4900001,0
,,78000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,1,800000,800001,102152
,,78001,APORTACIONES  ENTIDADES BENEFICIARIAS DE  PROGRAMAS SOCIAL,1,0,1,0
,,79000,FONDO SOCIAL EUROPEO,1,0,1,0
,,79100,FONDO EUROPEO DE DESARROLLO REGIONAL,2587372.88,533680.08,3121052.96,210222.38
,,79200,FONDO DE COHESION,1,0,1,0
,,79700,OTRAS TRANSFERENCIAS DE LA UNION EUROPEA,1,0,1,0
,,83000,REINTEGRO ANTICIPOS AL PERSONAL,1,387277.31,387278.31,455181.02
,,83001,REINTEGRO ANTICIPOS MIEMBROS CORPORACION,1,0,1,0
,,87000,Para gastos generales.,1,15620875.1,15620876.1,0
,,87010,Para gastos con financiación afectada.,1,9157329.95,9157330.95,0
,,91201,OPERACIONES DE TESORERIA,1,0,1,0
,,91301,CONCIERTO CREDITOS FINANC.PRESUPUESTO,11450000,8103722.36,19553722.36,14347594.39
#TOT.,,,,238000000,47824303.09,285824303.09,248755572.27
